llm,task,layer,control_label,comparison,p_value
banglat5,g2p,6,False,M>A,0.005183921535843062
banglat5,g2p,6,False,M>CB,0.017400365587002215
banglat5,g2p,6,False,CB>A,0.11850282387663191
banglat5,g2p,6,False,CB>M,0.9825996344129978
banglat5,g2p,7,False,A>M,0.9949157066500409
banglat5,g2p,7,False,A>CB,0.8568555139091564
banglat5,g2p,7,False,M>A,0.005084293349959134
banglat5,g2p,7,False,M>CB,0.043045023690293
banglat5,g2p,7,False,CB>A,0.14314448609084365
banglat5,g2p,7,False,CB>M,0.956954976309707
banglat5,g2p,8,False,A>M,0.9944887141004403
banglat5,g2p,8,False,A>CB,0.9516681165672249
banglat5,g2p,8,False,M>A,0.005511285899559719
banglat5,g2p,8,False,M>CB,0.0594113517977307
banglat5,g2p,8,False,CB>A,0.048331883432775044
banglat5,g2p,8,False,CB>M,0.9405886482022693
banglat5,g2p,9,False,A>M,0.9940619539475553
banglat5,g2p,9,False,A>CB,0.8914246511944883
banglat5,g2p,9,False,M>A,0.005938046052444736
banglat5,g2p,9,False,M>CB,0.03231435487834198
banglat5,g2p,9,False,CB>A,0.10857534880551165
banglat5,g2p,9,False,CB>M,0.967685645121658
banglat5,g2p,10,False,A>M,0.9961010755984328
banglat5,g2p,10,False,A>CB,0.8700125710009414
banglat5,g2p,10,False,M>A,0.0038989244015672315
banglat5,g2p,10,False,M>CB,0.03169815266511438
banglat5,g2p,10,False,CB>A,0.1299874289990586
banglat5,g2p,10,False,CB>M,0.9683018473348857
banglat5,g2p,11,False,A>M,0.9926804933683125
banglat5,g2p,11,False,A>CB,0.8234716519124234
banglat5,g2p,11,False,M>A,0.007319506631687438
banglat5,g2p,11,False,M>CB,0.04070248503608178
banglat5,g2p,11,False,CB>A,0.17652834808757656
banglat5,g2p,11,False,CB>M,0.9592975149639182
banglat5,g2p,12,False,A>M,0.003606416092825085
banglat5,g2p,12,False,A>CB,1.9040823962263414e-06
banglat5,g2p,12,False,M>A,0.9963935839071749
banglat5,g2p,12,False,M>CB,1.0427957818444628e-05
banglat5,g2p,12,False,CB>A,0.9999980959176038
banglat5,g2p,12,False,CB>M,0.9999895720421815
banglat5,g2p,0,True,A>M,0.9997338143626401
banglat5,g2p,0,True,A>CB,0.0014583515918584146
banglat5,g2p,0,True,M>A,0.00026618563735990726
banglat5,g2p,0,True,M>CB,2.5797256434830514e-05
banglat5,g2p,0,True,CB>A,0.9985416484081416
banglat5,g2p,0,True,CB>M,0.9999742027435652
banglat5,g2p,1,True,A>M,0.9999999987145243
banglat5,g2p,1,True,A>CB,0.9999697226897261
banglat5,g2p,1,True,M>A,1.2854757149806568e-09
banglat5,g2p,1,True,M>CB,2.9868799240017748e-05
banglat5,g2p,1,True,CB>A,3.0277310273959806e-05
banglat5,g2p,1,True,CB>M,0.99997013120076
banglat5,g2p,2,True,A>M,0.9999999998258354
banglat5,g2p,2,True,A>CB,0.9997701357610014
banglat5,g2p,2,True,M>A,1.7416459055832654e-10
banglat5,g2p,2,True,M>CB,2.7765131725962084e-05
banglat5,g2p,2,True,CB>A,0.0002298642389986693
banglat5,g2p,2,True,CB>M,0.999972234868274
banglat5,g2p,3,True,A>M,0.99999999918129
banglat5,g2p,3,True,A>CB,0.9999840905181525
banglat5,g2p,3,True,M>A,8.187099409955056e-10
banglat5,g2p,3,True,M>CB,4.325091223012427e-06
banglat5,g2p,3,True,CB>A,1.590948184743237e-05
banglat5,g2p,3,True,CB>M,0.9999956749087769
banglat5,g2p,4,True,A>M,0.9999999572467085
banglat5,g2p,4,True,A>CB,0.9991671087203644
banglat5,g2p,4,True,M>A,4.275329143244687e-08
banglat5,g2p,4,True,M>CB,3.2373571238844696e-05
banglat5,g2p,4,True,CB>A,0.000832891279635626
banglat5,g2p,4,True,CB>M,0.9999676264287611
banglat5,g2p,5,True,A>M,0.9999999796318916
banglat5,g2p,5,True,A>CB,0.7266840156660483
banglat5,g2p,5,True,M>A,2.0368108410915464e-08
banglat5,g2p,5,True,M>CB,0.01194135213642471
banglat5,g2p,5,True,CB>A,0.2733159843339516
banglat5,g2p,5,True,CB>M,0.9880586478635753
banglat5,g2p,6,True,A>M,0.9999999880013045
banglat5,g2p,6,True,A>CB,0.7295229761677212
banglat5,g2p,6,True,M>A,1.199869547448611e-08
banglat5,g2p,6,True,M>CB,0.015138912822754964
banglat5,g2p,6,True,CB>A,0.2704770238322788
banglat5,g2p,6,True,CB>M,0.9848610871772451
banglat5,g2p,7,True,A>M,0.9999999989275843
banglat5,g2p,7,True,A>CB,0.9769295351192138
banglat5,g2p,7,True,M>A,1.0724157086050724e-09
banglat5,g2p,7,True,M>CB,0.003506610806413223
banglat5,g2p,7,True,CB>A,0.023070464880786283
banglat5,g2p,7,True,CB>M,0.9964933891935868
banglat5,g2p,8,True,A>M,0.9999999966019497
banglat5,g2p,8,True,A>CB,0.9665038316871795
banglat5,g2p,8,True,M>A,3.398050321466356e-09
banglat5,g2p,8,True,M>CB,0.0031888536817563182
banglat5,g2p,8,True,CB>A,0.033496168312820485
banglat5,g2p,8,True,CB>M,0.9968111463182436
banglat5,g2p,9,True,A>M,0.9999999942014516
banglat5,g2p,9,True,A>CB,0.9356732771040088
banglat5,g2p,9,True,M>A,5.798548456691639e-09
banglat5,g2p,9,True,M>CB,0.005144082238426258
banglat5,g2p,9,True,CB>A,0.06432672289599121
banglat5,g2p,9,True,CB>M,0.9948559177615738
banglat5,g2p,10,True,A>M,0.999999992555575
banglat5,g2p,10,True,A>CB,0.9934093545777484
banglat5,g2p,10,True,M>A,7.444424911420702e-09
banglat5,g2p,10,True,M>CB,0.002244010393846532
banglat5,g2p,10,True,CB>A,0.006590645422251611
banglat5,g2p,10,True,CB>M,0.9977559896061534
banglat5,g2p,11,True,A>M,0.9999999838021181
banglat5,g2p,11,True,A>CB,0.9976539346605767
banglat5,g2p,11,True,M>A,1.6197881869708716e-08
banglat5,g2p,11,True,M>CB,0.000618749744310729
banglat5,g2p,11,True,CB>A,0.002346065339423233
banglat5,g2p,11,True,CB>M,0.9993812502556892
banglat5,g2p,12,True,A>M,0.999626486012743
banglat5,g2p,12,True,A>CB,0.0011864654784925655
banglat5,g2p,12,True,M>A,0.00037351398725707694
banglat5,g2p,12,True,M>CB,2.8229732537085634e-05
banglat5,g2p,12,True,CB>A,0.9988135345215075
banglat5,g2p,12,True,CB>M,0.9999717702674629
banglat5,rhyme,0,False,A>M,0.8532890544208644
banglat5,rhyme,0,False,A>CB,0.9740134052617864
banglat5,rhyme,0,False,M>A,0.14671094557913558
banglat5,rhyme,0,False,M>CB,0.9950564976540587
banglat5,rhyme,0,False,CB>A,0.025986594738213596
banglat5,rhyme,0,False,CB>M,0.004943502345941352
banglat5,rhyme,1,False,A>M,0.8891396871449523
banglat5,rhyme,1,False,A>CB,0.9467564933287076
banglat5,rhyme,1,False,M>A,0.11086031285504769
banglat5,rhyme,1,False,M>CB,0.9647748464477731
banglat5,rhyme,1,False,CB>A,0.05324350667129237
banglat5,rhyme,1,False,CB>M,0.03522515355222687
banglat5,rhyme,2,False,A>M,0.4482687768925588
banglat5,rhyme,2,False,A>CB,0.8041408202629216
banglat5,rhyme,2,False,M>A,0.5517312231074412
banglat5,rhyme,2,False,M>CB,0.9793543892364777
banglat5,rhyme,2,False,CB>A,0.19585917973707848
banglat5,rhyme,2,False,CB>M,0.020645610763522303
banglat5,rhyme,3,False,A>M,0.624936767054854
banglat5,rhyme,3,False,A>CB,0.8958663072540123
banglat5,rhyme,3,False,M>A,0.375063232945146
banglat5,rhyme,3,False,M>CB,0.9915666988634022
banglat5,rhyme,3,False,CB>A,0.10413369274598774
banglat5,rhyme,3,False,CB>M,0.008433301136597826
banglat5,rhyme,4,False,A>M,0.3994784042473923
banglat5,rhyme,4,False,A>CB,0.7977691446116895
banglat5,rhyme,4,False,M>A,0.6005215957526078
banglat5,rhyme,4,False,M>CB,0.9719956434147513
banglat5,rhyme,4,False,CB>A,0.2022308553883105
banglat5,rhyme,4,False,CB>M,0.028004356585248684
banglat5,rhyme,5,False,A>M,0.1408730062251933
banglat5,rhyme,5,False,A>CB,0.7057932537644056
banglat5,rhyme,5,False,M>A,0.8591269937748067
banglat5,rhyme,5,False,M>CB,0.9923646731291256
banglat5,rhyme,5,False,CB>A,0.29420674623559445
banglat5,rhyme,5,False,CB>M,0.007635326870874428
banglat5,rhyme,6,False,A>M,0.6627905631163054
banglat5,rhyme,6,False,A>CB,0.8891887086552007
banglat5,rhyme,6,False,M>A,0.3372094368836947
banglat5,rhyme,6,False,M>CB,0.9818755926690367
banglat5,rhyme,6,False,CB>A,0.11081129134479929
banglat5,rhyme,6,False,CB>M,0.01812440733096334
banglat5,rhyme,7,False,A>M,0.25734310317533393
banglat5,rhyme,7,False,A>CB,0.6928092760656146
banglat5,rhyme,7,False,M>A,0.7426568968246661
banglat5,rhyme,7,False,M>CB,0.9765504918618158
banglat5,rhyme,7,False,CB>A,0.30719072393438535
banglat5,rhyme,7,False,CB>M,0.023449508138184215
banglat5,rhyme,8,False,A>M,0.27812178974298296
banglat5,rhyme,8,False,A>CB,0.8393958489550639
banglat5,rhyme,8,False,M>A,0.721878210257017
banglat5,rhyme,8,False,M>CB,0.9976983400591052
banglat5,rhyme,8,False,CB>A,0.16060415104493603
banglat5,rhyme,8,False,CB>M,0.002301659940894837
banglat5,rhyme,9,False,A>M,0.4869196213913389
banglat5,rhyme,9,False,A>CB,0.9139607960315262
banglat5,rhyme,9,False,M>A,0.5130803786086611
banglat5,rhyme,9,False,M>CB,0.9990075828505441
banglat5,rhyme,9,False,CB>A,0.08603920396847371
banglat5,rhyme,9,False,CB>M,0.000992417149455892
banglat5,rhyme,10,False,A>M,0.9099433639047156
banglat5,rhyme,10,False,A>CB,0.9924503900428955
banglat5,rhyme,10,False,M>A,0.09005663609528439
banglat5,rhyme,10,False,M>CB,0.9995130354782888
banglat5,rhyme,10,False,CB>A,0.007549609957104466
banglat5,rhyme,10,False,CB>M,0.00048696452171115333
banglat5,rhyme,11,False,A>M,0.6643887909593997
banglat5,rhyme,11,False,A>CB,0.9433988338599799
banglat5,rhyme,11,False,M>A,0.33561120904060027
banglat5,rhyme,11,False,M>CB,0.9835474400142395
banglat5,rhyme,11,False,CB>A,0.056601166140020094
banglat5,rhyme,11,False,CB>M,0.016452559985760413
banglat5,rhyme,12,False,A>M,0.8750748885163905
banglat5,rhyme,12,False,A>CB,0.9492500001525005
banglat5,rhyme,12,False,M>A,0.12492511148360952
banglat5,rhyme,12,False,M>CB,0.9259561920126604
banglat5,rhyme,12,False,CB>A,0.05074999984749949
banglat5,rhyme,12,False,CB>M,0.07404380798733956
banglat5,rhyme,0,True,A>M,0.5245938216274004
banglat5,rhyme,0,True,A>CB,0.39632467583999637
banglat5,rhyme,0,True,M>A,0.47540617837259963
banglat5,rhyme,0,True,M>CB,0.16962939487320206
banglat5,rhyme,0,True,CB>A,0.6036753241600037
banglat5,rhyme,0,True,CB>M,0.830370605126798
banglat5,rhyme,1,True,A>M,0.5673327572711151
banglat5,rhyme,1,True,A>CB,0.5793479422421209
banglat5,rhyme,1,True,M>A,0.43266724272888485
banglat5,rhyme,1,True,M>CB,0.5580570383132186
banglat5,rhyme,1,True,CB>A,0.42065205775787906
banglat5,rhyme,1,True,CB>M,0.4419429616867814
banglat5,rhyme,2,True,A>M,0.5472111781922083
banglat5,rhyme,2,True,A>CB,0.5584713723153226
banglat5,rhyme,2,True,M>A,0.4527888218077917
banglat5,rhyme,2,True,M>CB,0.5382442245616216
banglat5,rhyme,2,True,CB>A,0.4415286276846774
banglat5,rhyme,2,True,CB>M,0.4617557754383784
banglat5,rhyme,3,True,A>M,0.4134226711106399
banglat5,rhyme,3,True,A>CB,0.44705400866339673
banglat5,rhyme,3,True,M>A,0.5865773288893601
banglat5,rhyme,3,True,M>CB,0.5431638232485325
banglat5,rhyme,3,True,CB>A,0.5529459913366033
banglat5,rhyme,3,True,CB>M,0.45683617675146754
banglat5,rhyme,4,True,A>M,0.33315958838392945
banglat5,rhyme,4,True,A>CB,0.3053337528000283
banglat5,rhyme,4,True,M>A,0.6668404116160705
banglat5,rhyme,4,True,M>CB,0.3853489604566703
banglat5,rhyme,4,True,CB>A,0.6946662471999717
banglat5,rhyme,4,True,CB>M,0.6146510395433298
banglat5,rhyme,5,True,A>M,0.25812368815976405
banglat5,rhyme,5,True,A>CB,0.31277928885888445
banglat5,rhyme,5,True,M>A,0.741876311840236
banglat5,rhyme,5,True,M>CB,0.5320538602099174
banglat5,rhyme,5,True,CB>A,0.6872207111411155
banglat5,rhyme,5,True,CB>M,0.4679461397900826
banglat5,rhyme,6,True,A>M,0.4625618555931538
banglat5,rhyme,6,True,A>CB,0.27018557916772773
banglat5,rhyme,6,True,M>A,0.5374381444068461
banglat5,rhyme,6,True,M>CB,0.08092414312717558
banglat5,rhyme,6,True,CB>A,0.7298144208322723
banglat5,rhyme,6,True,CB>M,0.9190758568728244
banglat5,rhyme,7,True,A>M,0.3865800250393518
banglat5,rhyme,7,True,A>CB,0.22198018628114113
banglat5,rhyme,7,True,M>A,0.6134199749606482
banglat5,rhyme,7,True,M>CB,0.12638025136363232
banglat5,rhyme,7,True,CB>A,0.7780198137188589
banglat5,rhyme,7,True,CB>M,0.8736197486363677
banglat5,rhyme,8,True,A>M,0.3397737852531172
banglat5,rhyme,8,True,A>CB,0.14936397346884883
banglat5,rhyme,8,True,M>A,0.6602262147468828
banglat5,rhyme,8,True,M>CB,0.05372691400095475
banglat5,rhyme,8,True,CB>A,0.8506360265311512
banglat5,rhyme,8,True,CB>M,0.9462730859990452
banglat5,rhyme,9,True,A>M,0.34852400278705165
banglat5,rhyme,9,True,A>CB,0.16382929592530046
banglat5,rhyme,9,True,M>A,0.6514759972129484
banglat5,rhyme,9,True,M>CB,0.06760061301654928
banglat5,rhyme,9,True,CB>A,0.8361707040746995
banglat5,rhyme,9,True,CB>M,0.9323993869834507
banglat5,rhyme,10,True,A>M,0.09623858582953435
banglat5,rhyme,10,True,A>CB,0.09791079082232955
banglat5,rhyme,10,True,M>A,0.9037614141704656
banglat5,rhyme,10,True,M>CB,0.35138505235990025
banglat5,rhyme,10,True,CB>A,0.9020892091776704
banglat5,rhyme,10,True,CB>M,0.6486149476400997
banglat5,rhyme,11,True,A>M,0.3935357646022124
banglat5,rhyme,11,True,A>CB,0.45888663132565854
banglat5,rhyme,11,True,M>A,0.6064642353977876
banglat5,rhyme,11,True,M>CB,0.6986319886684526
banglat5,rhyme,11,True,CB>A,0.5411133686743415
banglat5,rhyme,11,True,CB>M,0.30136801133154745
banglat5,rhyme,12,True,A>M,0.19466307799126747
banglat5,rhyme,12,True,A>CB,0.2856955545608106
banglat5,rhyme,12,True,M>A,0.8053369220087325
banglat5,rhyme,12,True,M>CB,0.6766449508114746
banglat5,rhyme,12,True,CB>A,0.7143044454391894
banglat5,rhyme,12,True,CB>M,0.3233550491885254
banglat5,syllables,0,False,A>M,0.977675083195837
banglat5,syllables,0,False,A>CB,0.7875035776960944
banglat5,syllables,0,False,M>A,0.02232491680416306
banglat5,syllables,0,False,M>CB,0.07698633047000274
banglat5,syllables,0,False,CB>A,0.21249642230390564
banglat5,syllables,0,False,CB>M,0.9230136695299973
banglat5,syllables,1,False,A>M,0.9796626118103104
banglat5,syllables,1,False,A>CB,0.030575682814506507
banglat5,syllables,1,False,M>A,0.02033738818968958
banglat5,syllables,1,False,M>CB,0.0015045132904643196
banglat5,syllables,1,False,CB>A,0.9694243171854935
banglat5,syllables,1,False,CB>M,0.9984954867095357
banglat5,syllables,2,False,A>M,0.9173632885525276
banglat5,syllables,2,False,A>CB,0.009100474820019962
banglat5,syllables,2,False,M>A,0.08263671144747241
banglat5,syllables,2,False,M>CB,0.0020250906261710215
banglat5,syllables,2,False,CB>A,0.99089952517998
banglat5,syllables,2,False,CB>M,0.9979749093738289
banglat5,syllables,3,False,A>M,0.9999483952968454
banglat5,syllables,3,False,A>CB,0.09811155788031485
banglat5,syllables,3,False,M>A,5.160470315454879e-05
banglat5,syllables,3,False,M>CB,0.0006648420794753327
banglat5,syllables,3,False,CB>A,0.9018884421196851
banglat5,syllables,3,False,CB>M,0.9993351579205246
banglat5,syllables,4,False,A>M,0.9998572896704822
banglat5,syllables,4,False,A>CB,0.2185650030211179
banglat5,syllables,4,False,M>A,0.00014271032951785644
banglat5,syllables,4,False,M>CB,0.00020667755003033825
banglat5,syllables,4,False,CB>A,0.7814349969788821
banglat5,syllables,4,False,CB>M,0.9997933224499697
banglat5,syllables,5,False,A>M,0.9997109571398998
banglat5,syllables,5,False,A>CB,0.07826734916980813
banglat5,syllables,5,False,M>A,0.0002890428601002606
banglat5,syllables,5,False,M>CB,0.050491407863999374
banglat5,syllables,5,False,CB>A,0.9217326508301918
banglat5,syllables,5,False,CB>M,0.9495085921360006
banglat5,syllables,6,False,A>M,0.5209441262539547
banglat5,syllables,6,False,A>CB,0.02615751787932922
banglat5,syllables,6,False,M>A,0.47905587374604525
banglat5,syllables,6,False,M>CB,0.025249556473084096
banglat5,syllables,6,False,CB>A,0.9738424821206708
banglat5,syllables,6,False,CB>M,0.9747504435269159
banglat5,syllables,7,False,A>M,0.9664168880646345
banglat5,syllables,7,False,A>CB,0.08234606879360461
banglat5,syllables,7,False,M>A,0.03358311193536545
banglat5,syllables,7,False,M>CB,0.0716433545623119
banglat5,syllables,7,False,CB>A,0.9176539312063954
banglat5,syllables,7,False,CB>M,0.9283566454376881
banglat5,syllables,8,False,A>M,0.8412984940091482
banglat5,syllables,8,False,A>CB,0.0751913213958121
banglat5,syllables,8,False,M>A,0.15870150599085178
banglat5,syllables,8,False,M>CB,0.07151754892776373
banglat5,syllables,8,False,CB>A,0.9248086786041879
banglat5,syllables,8,False,CB>M,0.9284824510722363
banglat5,syllables,9,False,A>M,0.999761955889891
banglat5,syllables,9,False,A>CB,0.0005330652522874897
banglat5,syllables,9,False,M>A,0.00023804411010901717
banglat5,syllables,9,False,M>CB,3.6145023319852126e-05
banglat5,syllables,9,False,CB>A,0.9994669347477125
banglat5,syllables,9,False,CB>M,0.9999638549766802
banglat5,syllables,10,False,A>M,0.9987347302164425
banglat5,syllables,10,False,A>CB,0.0009187984316629213
banglat5,syllables,10,False,M>A,0.0012652697835574783
banglat5,syllables,10,False,M>CB,7.005173100907785e-06
banglat5,syllables,10,False,CB>A,0.9990812015683371
banglat5,syllables,10,False,CB>M,0.9999929948268991
banglat5,syllables,11,False,A>M,0.9943991465465631
banglat5,syllables,11,False,A>CB,0.0006296556383856068
banglat5,syllables,11,False,M>A,0.005600853453436851
banglat5,syllables,11,False,M>CB,8.521252332856306e-06
banglat5,syllables,11,False,CB>A,0.9993703443616144
banglat5,syllables,11,False,CB>M,0.9999914787476671
banglat5,syllables,12,False,A>M,3.139870744008704e-06
banglat5,syllables,12,False,A>CB,8.906164447988432e-07
banglat5,syllables,12,False,M>A,0.999996860129256
banglat5,syllables,12,False,M>CB,2.513570240745558e-06
banglat5,syllables,12,False,CB>A,0.9999991093835552
banglat5,syllables,12,False,CB>M,0.9999974864297593
banglat5,syllables,0,True,A>M,0.905759196614128
banglat5,syllables,0,True,A>CB,0.08849115724750939
banglat5,syllables,0,True,M>A,0.09424080338587208
banglat5,syllables,0,True,M>CB,0.011441421204101741
banglat5,syllables,0,True,CB>A,0.9115088427524907
banglat5,syllables,0,True,CB>M,0.9885585787958983
banglat5,syllables,1,True,A>M,0.9995373890635976
banglat5,syllables,1,True,A>CB,0.9767235685349429
banglat5,syllables,1,True,M>A,0.0004626109364024233
banglat5,syllables,1,True,M>CB,0.005654257374628404
banglat5,syllables,1,True,CB>A,0.023276431465057038
banglat5,syllables,1,True,CB>M,0.9943457426253716
banglat5,syllables,2,True,A>M,0.9999258341527895
banglat5,syllables,2,True,A>CB,0.986131869383315
banglat5,syllables,2,True,M>A,7.416584721056686e-05
banglat5,syllables,2,True,M>CB,0.03543317745132454
banglat5,syllables,2,True,CB>A,0.013868130616685013
banglat5,syllables,2,True,CB>M,0.9645668225486754
banglat5,syllables,3,True,A>M,0.9995856606750867
banglat5,syllables,3,True,A>CB,0.9970368981633194
banglat5,syllables,3,True,M>A,0.0004143393249132505
banglat5,syllables,3,True,M>CB,0.001593637920137912
banglat5,syllables,3,True,CB>A,0.0029631018366806
banglat5,syllables,3,True,CB>M,0.9984063620798621
banglat5,syllables,4,True,A>M,0.9998690635160362
banglat5,syllables,4,True,A>CB,0.9976469459518803
banglat5,syllables,4,True,M>A,0.00013093648396374056
banglat5,syllables,4,True,M>CB,0.000323891239299874
banglat5,syllables,4,True,CB>A,0.0023530540481197415
banglat5,syllables,4,True,CB>M,0.9996761087607001
banglat5,syllables,5,True,A>M,0.9990081147367027
banglat5,syllables,5,True,A>CB,0.39243214695624135
banglat5,syllables,5,True,M>A,0.000991885263297261
banglat5,syllables,5,True,M>CB,0.09933437985758965
banglat5,syllables,5,True,CB>A,0.6075678530437587
banglat5,syllables,5,True,CB>M,0.9006656201424104
banglat5,syllables,6,True,A>M,0.9999404757842004
banglat5,syllables,6,True,A>CB,0.29874735736478564
banglat5,syllables,6,True,M>A,5.9524215799593786e-05
banglat5,syllables,6,True,M>CB,0.10858234599542665
banglat5,syllables,6,True,CB>A,0.7012526426352144
banglat5,syllables,6,True,CB>M,0.8914176540045733
banglat5,syllables,7,True,A>M,0.9999954291708933
banglat5,syllables,7,True,A>CB,0.9096926364574379
banglat5,syllables,7,True,M>A,4.570829106623169e-06
banglat5,syllables,7,True,M>CB,0.028494166529995552
banglat5,syllables,7,True,CB>A,0.09030736354256208
banglat5,syllables,7,True,CB>M,0.9715058334700044
banglat5,syllables,8,True,A>M,0.9999628701070836
banglat5,syllables,8,True,A>CB,0.9908784387664666
banglat5,syllables,8,True,M>A,3.712989291635339e-05
banglat5,syllables,8,True,M>CB,0.0009332286008331318
banglat5,syllables,8,True,CB>A,0.009121561233533384
banglat5,syllables,8,True,CB>M,0.9990667713991669
banglat5,syllables,9,True,A>M,0.999996844752684
banglat5,syllables,9,True,A>CB,0.9890869052611083
banglat5,syllables,9,True,M>A,3.1552473160026025e-06
banglat5,syllables,9,True,M>CB,0.00040656665647237984
banglat5,syllables,9,True,CB>A,0.010913094738891696
banglat5,syllables,9,True,CB>M,0.9995934333435276
banglat5,syllables,10,True,A>M,0.999997995118388
banglat5,syllables,10,True,A>CB,0.9987975293891385
banglat5,syllables,10,True,M>A,2.0048816119936793e-06
banglat5,syllables,10,True,M>CB,0.00024095494207424474
banglat5,syllables,10,True,CB>A,0.0012024706108615091
banglat5,syllables,10,True,CB>M,0.9997590450579258
banglat5,syllables,11,True,A>M,0.9999937131123323
banglat5,syllables,11,True,A>CB,0.9981630360091134
banglat5,syllables,11,True,M>A,6.2868876676609146e-06
banglat5,syllables,11,True,M>CB,0.0007190331364616831
banglat5,syllables,11,True,CB>A,0.0018369639908866102
banglat5,syllables,11,True,CB>M,0.9992809668635383
banglat5,syllables,12,True,A>M,0.9709737889328087
banglat5,syllables,12,True,A>CB,0.2529622270913473
banglat5,syllables,12,True,M>A,0.029026211067191235
banglat5,syllables,12,True,M>CB,0.013866470639477727
banglat5,syllables,12,True,CB>A,0.7470377729086527
banglat5,syllables,12,True,CB>M,0.9861335293605222
