আন্তর্জাতিক	a n . t̪ o r . dʒ a . t̪ i k	5.78
সরকারের	ʃ ɔ r . k a . r e r	5.78
সামনে	ʃ a m . n e	5.78
আল	a l	5.77
কী	k i	5.77
মাঝে	m a . dʒʱ e	5.77
সাধারণ	s a . d̪ʱ a . r o n	5.77
হওয়ার	h ɔu̯ . a r	5.77
ছোট	tʃʰ o . ʈ o	5.76
জেলা	dʒ e . l a	5.76
দেশে	d̪ e . ʃ e	5.76
সম্পর্কে	ʃ ɔ m . p ɔ r . k e	5.76
হাতে	h a . t̪ e	5.76
করবেন	k o r . b e n	5.75
তথ্য	t̪ o t̪ . t̪ʰ o	5.75
দেয়া	d̪ e . a	5.75
বাংলা	b a ŋ . l a	5.75
কম	k ɔ m	5.74
দেখুন	d̪ e . kʰ u n	5.74
পারেন	p a . r e n	5.74
যেখানে	dʒ e . kʰ a . n e	5.74
যেমন	dʒ æ . m o n	5.74
সদস্য	s ɔ . d̪ o s . s o	5.74
উত্তর	u t̪ . t̪ ɔ r	5.73
ঘোষণা	gʱ o . ʃ o . n a	5.73
টি	ʈ i	5.73
তিন	t̪ i n	5.73
ধরনের	d̪ʱ ɔ . r o . n e r	5.73
নিতে	n i . t̪ e	5.73
ভারতের	bʱ a . r o . t̪ e r	5.73
মৃত্যু	m r i t̪ . t̪ u	5.73
গিয়ে	g i . e	5.72
দিয়েছে	d̪ i . e . tʃʰ e	5.72
ভাই	bʱ ai̯	5.72
ভিডিও	bʱ i . ɖ i . o	5.72
খবর	kʰ ɔ . b o r	5.71
একটু	e k . ʈ u	5.70
চেয়ে	tʃ e . e	5.70
ভারত	bʱ a . r o t̪	5.70
অভিযোগ	o . bʱ i . dʒ o g	5.69
এসে	e . ʃ e	5.69
ক্ষেত্রে	kʰ e t̪ . r e	5.69
দেশ	d̪ e ʃ	5.69
নাকি	n a . k i	5.69
বলতে	b o l . t̪ e	5.69
ব্যবস্থা	b æ . b o s . t̪ʰ a	5.69
মাত্র	m a t̪ . r o	5.69
সমস্যা	s ɔ . m o ʃ . ʃ a	5.69
আসে	a . ʃ e	5.68
থাকবে	t̪ʰ a k . b e	5.68
বিশ্বাস	b i ʃ . ʃ a ʃ	5.68
ব্যাপারে	b æ . p a . r e	5.68
ওই	o̯i	5.67
করছেন	k o r . tʃʰ e n	5.67
কিভাবে	k i . bʱ a . b e	5.67
চায়	tʃ ae̯	5.67
তুলে	t̪ u . l e	5.67
দেন	d̪ e n	5.67
প্রধানমন্ত্রী	p r o . d̪ʱ a n . m o n . t̪ r i	5.67
ফিরে	f i . r e	5.67
বলেছেন	b o . l e . tʃʰ e n	5.67
বলেন	b ɔ . l e n	5.67
সময়ে	s ɔ . m ɔe̯ . e	5.67
সুন্দর	s u n . d̪ o r	5.67
সুযোগ	ʃ u . dʒ o g	5.67
অন্যান্য	o n . n a n . n o	5.66
ছেলে	tʃʰ e . l e	5.66
থাকা	t̪ʰ a . k a	5.66
ভাবে	bʱ a . b e	5.66
যাওয়া	dʒ ao̯ . a	5.66
রাজনৈতিক	r a dʒ . n oi̯ . t̪ i k	5.66
সহ	ʃ ɔ . h o	5.66
সেটা	ʃ e . ʈ a	5.66
অথবা	ɔ . t̪ʰ ɔ . b a	5.65
এখনো	æ . kʰ o . n o	5.65
এবার	e . b a r	5.65
কেমন	k æ . m o n	5.65
খারাপ	kʰ a . r a p	5.65
ধন্যবাদ	d̪ʱ o n . n o . b a d̪	5.65
প্রয়োজন	p r oi̯ . o . dʒ o n	5.65
সাহায্য	ʃ a . h a dʒ . dʒ o	5.65
হাত	h a t̪	5.65
আশা	a . ʃ a	5.64
উচিত	u . tʃ i t̪	5.64
গ্রহণ	g r o . h o n	5.64
দক্ষিণ	d̪ o k . kʰ i n	5.64
প্রদান	p r o . d̪ a n	5.64
মানে	m a . n e	5.64
মেয়ে	m e . e	5.64
ইসলাম	i s . l a m	5.63
এতে	e . t̪ e	5.63
এসব	e . ʃ ɔ b	5.63
করলে	k o r . l e	5.63
নিশ্চিত	n i ʃ . tʃ i t̪	5.63
পারি	p a . r i	5.63
বের	b e r	5.63
যান	dʒ a n	5.63
সরকারি	ʃ ɔ r . k a . r i	5.63
হওয়া	h ou̯ . a	5.63
ই	i	5.62
করছি	k o r . tʃʰ i	5.62
ঘটনা	gʱ ɔ . ʈ o . n a	5.62
থাকতে	t̪ʰ a k . t̪ e	5.62
পালন	p a . l o n	5.62
বন্ধু	b o n . d̪ʱ u	5.62
বাবা	b a . b a	5.62
ভারতীয়	bʱ a . r o . t̪ i . o	5.62
শেখ	ʃ e kʰ	5.62
জানতে	dʒ a n . t̪ e	5.61
দাবি	d̪ a . b i	5.61
দু	d̪ u	5.61
নেতা	n e . t̪ a	5.61
মারা	m a . r a	5.61
হয়নি	h ɔe̯ . n i	5.61
অর্থ	ɔ r . t̪ʰ o	5.60
আইন	a . i n	5.60
এত	æ . t̪ o	5.60
খান	kʰ a n	5.60
নির্বাচনে	n i r . b a . tʃ ɔ . n e	5.60
পরিবর্তন	p o . r i . b ɔ r . t̪ o n	5.60
প্রশ্ন	p r o ʃ . n o	5.60
বিশ্বের	b i ʃ . ʃ e r	5.60
সংবাদ	ʃ ɔ ŋ . b a d̪	5.60
এসেছে	e . ʃ e . tʃʰ e	5.59
কখনো	k ɔ . kʰ o . n o	5.59
কোটি	k o . ʈ i	5.59
দ্বিতীয়	d̪ i . t̪ i . o	5.59
ভুল	bʱ u l	5.59
যোগ	dʒ o g	5.59
লোক	l o k	5.59
সবার	ʃ ɔ . b a r	5.59
অনুযায়ী	o . n u . dʒ a . i	5.58
আপনাকে	a p . n a . k e	5.58
আসছে	a ʃ . tʃʰ e	5.58
আসলে	a . ʃ o l . e	5.58
বাইরে	b ai̯ . r e	5.58
যাওয়ার	dʒ a . o . a r	5.58
রাতে	r a . t̪ e	5.58
সংখ্যা	s o ŋ . kʰ a	5.58
স্থানীয়	s t̪ʰ a . n i . o	5.58
হত্যা	h o t̪ . t̪ a	5.58
হোক	h o k	5.58
গুরুত্বপূর্ণ	g u . r u t̪ . t̪ o . p u r . n o	5.57
দরকার	d̪ ɔ r . k a r	5.57
দ্বারা	d̪ a . r a	5.57
নিহত	n i . h ɔ . t̪ o	5.57
পানি	p a . n i	5.57
বর্তমান	b ɔ r . t̪ o . m a n	5.57
ভাষা	bʱ a . ʃ a	5.57
মার্কিন	m a r . k i n	5.57
স্বাধীনতা	ʃ a . d̪ʱ i . n ɔ . t̪ a	5.57
অবস্থান	ɔ . b o s . t̪ʰ a n	5.56
কাজে	k a . dʒ e	5.56
নিজেকে	n i . dʒ e . k e	5.56
বিশ্ব	b i ʃ . ʃ o	5.56
রাখা	r a . kʰ a	5.56
সম্ভব	s ɔ m . bʱ ɔ b	5.56
সিদ্ধান্ত	ʃ i d̪ . d̪ʱ a n . t̪ o	5.56
উপজেলার	u . p o . dʒ e . l a r	5.55
এলাকায়	e . l a . k ae̯	5.55
কর	k ɔ r	5.55
গেল	g æ . l o	5.55
প্রকাশিত	p r o . k a . ʃ i . t̪ o	5.55
যদিও	dʒ o . d̪ i . o	5.55
যুদ্ধ	dʒ u d̪ . d̪ʱ ɔ	5.55
রেখে	r e . kʰ e	5.55
আছি	a . tʃʰ i	5.54
আলোচনা	a . l o . tʃ o . n a	5.54
কোথায়	k o . t̪ʰ ae̯	5.54
চান	tʃ a n	5.54
পরিবারের	p o . r i . b a . r e r	5.54
বাস	b a ʃ	5.54
মার্চ	m a r tʃ	5.54
যাতে	dʒ a . t̪ e	5.54
শহরের	ʃ ɔ . h o . r e r	5.54
হন	h o n	5.54
অন্যতম	o n . n o . t̪ ɔ . m o	5.53
আছেন	a . tʃʰ e n	5.53
জানি	dʒ a . n i	5.53
থাকার	t̪ʰ a . k a r	5.53
নাই	n ai̯	5.53
বসে	b o . ʃ e	5.53
রাখতে	r a kʰ . t̪ e	5.53
এগিয়ে	e . g i . e	5.52
কত	k ɔ . t̪ o	5.52
করেছি	k o . r e . tʃʰ i	5.52
করেছিল	k o . r e . tʃʰ i . l o	5.52
তোমাকে	t̪ o . m a . k e	5.52
দ্রুত	d̪ r u . t̪ o	5.52
পারবে	p a r . b e	5.52
পুলিশের	p u . l i . ʃ e r	5.52
পেতে	p e . t̪ e	5.52
মুসলিম	m u s . l i m	5.52
সারা	ʃ a . r a	5.52
সৃষ্টি	s r i ʃ . ʈ i	5.52
আগস্ট	a . g ɔ s ʈ	5.51
চলছে	tʃ o l . tʃʰ e	5.51
চিন্তা	tʃ i n . t̪ a	5.51
বিয়ে	b i . e	5.51
বিষয়	b i . ʃ oe̯	5.51
মাসে	m a . ʃ e	5.51
মূল	m u l	5.51
লেখা	l e . kʰ a	5.51
সকাল	ʃ ɔ . k a l	5.51
স্কুল	s k u l	5.51
আগামী	a . g a . m i	5.50
এরপর	e r . p ɔ r	5.50
ঐ	oi̯	5.50
কারন	k a . r o n	5.50
গান	g a n	5.50
জানা	dʒ a . n a	5.50
ফোন	f o n	5.50
মুক্তি	m u k . t̪ i	5.50
সাবেক	ʃ a . b e k	5.50
হয়তো	h oe̯ . t̪ o	5.50
হিসাবে	h i . ʃ a . b e	5.50
খাবার	kʰ a . b a r	5.49
খেলা	kʰ e . l a	5.49
ছাত্র	tʃʰ a t̪ . r o	5.49
দুটি	d̪ u . ʈ i	5.49
পক্ষে	p ɔ k . kʰ e	5.49
বর্তমানে	b ɔ r . t̪ o . m a . n e	5.49
বার	b a r	5.49
ভোট	bʱ o ʈ	5.49
মাস	m a ʃ	5.49
সংসদ	ʃ ɔ ŋ . ʃ ɔ d̪	5.49
সেরা	ʃ e . r a	5.49
কঠিন	k o . ʈʰ i n	5.48
গেলে	g e . l e	5.48
গ্রেফতার	g r e f . t̪ a r	5.48
দিনের	d̪ i . n e r	5.48
নি	n i	5.48
যিনি	dʒ i . n i	5.48
সময়ের	s ɔ . m oe̯ . e r	5.48
সামাজিক	ʃ a . m a . dʒ i k	5.48
সেপ্টেম্বর	s e p . ʈ e m . b a r	5.48
অবশ্যই	ɔ . b o ʃ . ʃ oi̯	5.47
উল্লেখ	u l . l e kʰ	5.47
একে	e . k e	5.47
কোনও	k o n . o	5.47
গুলি	g u . l i	5.47
ঘটে	gʱ ɔ . ʈ e	5.47
ছিলো	tʃʰ i . l o	5.47
জনপ্রিয়	dʒ ɔ . n o . p r i . o	5.47
জীবনের	dʒ i . b o . n e r	5.47
পরিবার	p o . r i . b a r	5.47
পুরো	p u . r o	5.47
প্রাথমিক	p r a . t̪ʰ o . m i k	5.47
বই	b oi̯	5.47
বিশ্ববিদ্যালয়ের	b i ʃ . ʃ o . b i d̪ . d̪ a . l ɔe̯ . e r	5.47
লাভ	l a bʱ	5.47
শিশু	ʃ i . ʃ u	5.47
স্ত্রী	s t̪ r i	5.47
অবস্থা	ɔ . b o s . t̪ʰ a	5.46
আহত	a . h o . t̪ o	5.46
উন্নয়ন	u n . n oe̯ . o n	5.46
এখনও	æ . kʰ o n . o	5.46
এপ্রিল	e p . r i l	5.46
কাছ	k a tʃʰ	5.46
খুবই	kʰ u b . i	5.46
গল্প	g ɔ l . p o	5.46
চালু	tʃ a . l u	5.46
পথ	p ɔ t̪ʰ	5.46
পূর্ব	p u r . b o	5.46
বলছে	b o l . tʃʰ e	5.46
বিরোধী	b i . r o . d̪ʱ i	5.46
বিস্তারিত	b i s . t̪ a . r i . t̪ o	5.46
বুঝতে	b u dʒʱ . t̪ e	5.46
মৃত্যুর	m r i t̪ . t̪ u r	5.46
শহর	ʃ ɔ . h o r	5.46
আপনাদের	a p . n a . d̪ e r	5.45
উপজেলা	u . p o . dʒ e . l a	5.45
কয়েক	k ɔe̯ . e k	5.45
কাজের	k a . dʒ e r	5.45
কিছুই	k i . tʃʰ ui̯	5.45
কেন্দ্র	k e n . d̪ r o	5.45
ঘটনায়	gʱ ɔ . ʈ o . n ae̯	5.45
চার	tʃ a r	5.45
তে	t̪ e	5.45
দায়িত্ব	d̪ a . i t̪ . t̪ o	5.45
নিজেদের	n i . dʒ e . d̪ e r	5.45
ফুটবল	f u ʈ . b ɔ l	5.45
রহমান	r ɔ . h o . m a n	5.45
রাত	r a t̪	5.45
শিক্ষক	ʃ i k . kʰ ɔ k	5.45
আপনারা	a p . n a . r a	5.44
আসা	a . ʃ a	5.44
কিনা	k i . n a	5.44
থেকেই	t̪ʰ e . k ei̯	5.44
দেবে	d̪ e . b e	5.44
নামের	n a . m e r	5.44
পায়	p ae̯	5.44
পারবেন	p a r . b e n	5.44
যুক্ত	dʒ u k . t̪ o	5.44
যোগাযোগ	dʒ o . g a . dʒ o g	5.44
লাখ	l a kʰ	5.44
সবাইকে	ʃ ɔ . b ai̯ . k e	5.44
হলেও	h o . l eo̯	5.44
আলী	a . l i	5.43
এমনকি	æ . m o n . k i	5.43
কাউকে	k au̯ . k e	5.43
কারো	k a . r o	5.43
কেবল	k æ . b o l	5.43
পরিচিত	p o . r i . tʃ i . t̪ o	5.43
পরীক্ষা	p o . r i k . kʰ a	5.43
ফেলে	f e . l e	5.43
বিষয়টি	b i . ʃ oe̯ . ʈ i	5.43
বেশী	b e . ʃ i	5.43
শেয়ার	ʃ e . a r	5.43
হয়েছেন	h o . e . tʃʰ e n	5.43
হামলা	h a m . l a	5.43
অবস্থায়	ɔ . b o s . t̪ʰ ae̯	5.42
আগের	a . g e r	5.42
একবার	æ k . b a r	5.42
কয়েকটি	k oe̯ . e k . ʈ i	5.42
খুঁজে	kʰ u . dʒ e	5.42
জুলাই	dʒ u . l ai̯	5.42
তারপর	t̪ a r . p ɔ r	5.42
পথে	p ɔ . t̪ʰ e	5.42
পাশাপাশি	p a . ʃ a . p a . ʃ i	5.42
মুখে	m u . kʰ e	5.42
মে	m e	5.42
রক্ষা	r ɔ k . kʰ a	5.42
সম্পর্ক	ʃ ɔ m . p o r . k o	5.42
অধিকার	o . d̪ʱ i . k a r	5.41
উদ্ধার	u d̪ . d̪ʱ a r	5.41
একমাত্র	æ k . m a t̪ . r o	5.41
চোখ	tʃ o kʰ	5.41
ধারণা	d̪ʱ a . r o . n a	5.41
মুক্ত	m u k . t̪ o	5.41
সহজ	s ɔ . h o dʒ	5.41
এদের	e . d̪ e r	5.40
এলাকা	æ . l a . k a	5.40
ক্ষমতা	kʰ ɔ . m o . t̪ a	5.40
খুন	kʰ u n	5.40
থাকেন	t̪ʰ a . k e n	5.40
দিনে	d̪ i . n e	5.40
দেখি	d̪ e . kʰ i	5.40
ভাষায়	bʱ a . ʃ ae̯	5.40
মধ্য	m o d̪ . d̪ʱ o	5.40
মহিলা	m o . h i . l a	5.40
মামলা	m a m . l a	5.40
রায়	r ae̯	5.40
লক্ষ	l ɔ k . kʰ o	5.40
লাগে	l a . g e	5.40
স্বাস্থ্য	ʃ a s . t̪ʰ o	5.40
হারিয়ে	h a . r i . e	5.40
আহমেদ	a h . m e d̪	5.39
কেন্দ্রীয়	k e n . d̪ r io̯	5.39
জয়	dʒ ɔe̯	5.39
তারিখে	t̪ a . r i . kʰ e	5.39
দিচ্ছে	d̪ i tʃ . tʃʰ e	5.39
নিরাপত্তা	n i . r a . p ɔ t̪ . t̪ a	5.39
পা	p a	5.39
পাশে	p a . ʃ e	5.39
বিএনপি	b i . e n . p i	5.39
বিচার	b i . tʃ a r	5.39
ভুলে	bʱ u . l e	5.39
মুখ	m u kʰ	5.39
মোবাইল	m o . b ai̯ l	5.39
আন্দোলন	a n . d̪ o . l o n	5.38
আসবে	a ʃ . b e	5.38
উচ্চ	u tʃ . tʃ o	5.38
ঘরে	gʱ ɔ . r e	5.38
তোর	t̪ o r	5.38
ধরা	d̪ʱ ɔ . r a	5.38
পেয়ে	p e . e	5.38
প্রেসিডেন্ট	p r e . s i . ɖ e n ʈ	5.38
বিক্রি	b i k . r i	5.38
শক্তি	ʃ o k . t̪ i	5.38
সঠিক	ʃ ɔ . ʈʰ i k	5.38
সমস্ত	ʃ ɔ . m o s . t̪ o	5.38
সাংবাদিক	s a ŋ . b a . d̪ i k	5.38
সৌদি	s ou̯ . d̪ i	5.38
অফ	ɔ f	5.37
আসল	a . ʃ o l	5.37
উঠে	u . ʈʰ e	5.37
উপরে	u . p o . r e	5.37
এদিকে	e . d̪ i . k e	5.37
জন্ম	dʒ ɔ n . m o	5.37
তাতে	t̪ a . t̪ e	5.37
নেওয়া	n eo̯ . a	5.37
পছন্দ	p ɔ . tʃʰ o n . d̪ o	5.37
পরিকল্পনা	p o . r i . k ɔ l . p o . n a	5.37
পান	p a n	5.37
পুরস্কার	p u . r o ʃ . k a r	5.37
পৃথিবীর	p r i . t̪ʰ i . b i r	5.37
মাথা	m a . t̪ʰ a	5.37
রাষ্ট্রপতি	r a ʃ . ʈ r o . p o . t̪ i	5.37
লক্ষ্য	l o k . kʰ o	5.37
শব্দ	ʃ ɔ b . d̪ o	5.37
সত্যি	s o t̪ . t̪ i	5.37
আটক	a . ʈ o k	5.36
আলাদা	a . l a . d̪ a	5.36
ইতিহাস	i . t̪ i . h a ʃ	5.36
এলাকার	e . l a . k a r	5.36
চট্টগ্রাম	tʃ ɔ ʈ . ʈ o . g r a m	5.36
জেলার	dʒ e . l a r	5.36
টা	ʈ a	5.36
দেয়ার	d̪ e . a r	5.36
নামক	n a . m o k	5.36
পরিণত	p o . r i . n ɔ . t̪ o	5.36
পাঁচ	p a tʃ	5.36
ফেসবুক	f e s . b u k	5.36
বিভাগের	b i . bʱ a . g e r	5.36
বিমান	b i . m a n	5.36
বৃদ্ধি	b r i d̪ . d̪ʱ i	5.36
মন্ত্রী	m o n . t̪ r i	5.36
যাই	dʒ ai̯	5.36
রাজ্যের	r a dʒ . dʒ e r	5.36
শহরে	ʃ ɔ . h o . r e	5.36
শিকার	ʃ i . k a r	5.36
শেষে	ʃ e . ʃ e	5.36
অক্টোবর	ɔ k . ʈ o . b o r	5.35
অব	ɔ b	5.35
আসতে	a ʃ . t̪ e	5.35
জায়গা	dʒ ae̯ . g a	5.35
তুই	t̪ ui̯	5.35
থাকলে	t̪ʰ a k . l e	5.35
নির্দেশ	n i r . d̪ e ʃ	5.35
নেয়	n æe̯	5.35
পরবর্তী	p ɔ . r o . b o r . t̪ i	5.35
পরিচালক	p o . r i . tʃ a . l o k	5.35
প্রতিটি	p r o . t̪ i . ʈ i	5.35
ভাগ	bʱ a g	5.35
ভারতে	bʱ a . r o . t̪ e	5.35
যুক্তরাষ্ট্রের	dʒ u k . t̪ o . r a ʃ . ʈ r e r	5.35
যৌন	dʒ ou̯ . n o	5.35
লেখক	l e . kʰ o k	5.35
শতাংশ	ʃ ɔ . t̪ a ŋ . ʃ o	5.35
শুধুমাত্র	ʃ u . d̪ʱ u . m a t̪ . r o	5.35
সংস্থা	ʃ ɔ ŋ s . t̪ʰ a	5.35
সদর	s ɔ . d̪ o r	5.35
সভাপতি	ʃ ɔ . bʱ a . p o . t̪ i	5.35
স্থান	s t̪ʰ a n	5.35
অপেক্ষা	ɔ . p e k . kʰ a	5.34
আওয়ামী	a . o . a . m i	5.34
আগেই	a . g ei̯	5.34
ইউনিয়নের	i̯u . n i . ɔ n . e r	5.34
করেছিলেন	k o . r e . tʃʰ i . l e n	5.34
দাম	d̪ a m	5.34
পাওয়ার	p a . o̯a r	5.34
ফেব্রুয়ারি	f e b . r u . a . r i	5.34
বছরে	b ɔ . tʃʰ o . r e	5.34
বলার	b ɔ . l a r	5.34
বিশ্ববিদ্যালয়	b i ʃ . ʃ o . b i d̪ . d̪ a . l oe̯	5.34
মোহাম্মদ	m o . h a m . m o d̪	5.34
লীগ	l i g	5.34
স্থানে	s t̪ʰ a . n e	5.34
জীবনে	dʒ i . b o . n e	5.33
জুন	dʒ u n	5.33
দিক	d̪ i k	5.33
দিবস	d̪ i . b ɔ ʃ	5.33
দীর্ঘ	d̪ i r . gʱ o	5.33
নিউজ	n iu̯ dʒ	5.33
নির্বাচিত	n i r . b a . tʃ i . t̪ o	5.33
মন	m ɔ n	5.33
মায়ের	m a . e r	5.33
রাজ্য	r a dʒ . dʒ o	5.33
শুভ	ʃ u . bʱ o	5.33
সিটি	s i . ʈ i	5.33
অর্জন	ɔ r . dʒ ɔ n	5.32
আয়োজন	ae̯ . o . dʒ ɔ n	5.32
এটাই	æ . ʈ a . i	5.32
এম	e m	5.32
পুরুষ	p u . r u ʃ	5.32
প্রার্থী	p r a r . t̪ʰ i	5.32
বদলে	b o d̪ . l e	5.32
ব্যাপক	b æ . p o k	5.32
মতে	m ɔ . t̪ e	5.32
মাথায়	m a . t̪ʰ ae̯	5.32
রাখার	r a . kʰ a r	5.32
রাস্তা	r a s . t̪ a	5.32
