word,phon_vec,syllables,ipa
রানার,"[2, 1, 6, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'a'], ['n', 'a', 'r']]",ranar
পাবি,"[15, 1, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'a'], ['b', 'i']]",pabi
মেশিন,"[13, 5, 10, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'e'], ['ʃ', 'i', 'n']]",meʃin
মূল্যহীন,"[13, 14, 12, 12, 3, 21, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'u', 'l'], ['l', 'o'], ['h', 'i', 'n']]",mullohin
লাভের,"[12, 1, 23, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['l', 'a'], ['bʱ', 'e', 'r']]",labʱer
পেশায়,"[15, 5, 10, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'e'], ['ʃ', 'ae̯']]",peʃae̯
সমিতি,"[10, 8, 13, 4, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ'], ['m', 'i'], ['t̪', 'i']]",ʃɔmit̪i
ওলামা,"[3, 12, 1, 13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['o'], ['l', 'a'], ['m', 'a']]",olama
পুতুলের,"[15, 14, 9, 14, 12, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'u'], ['t̪', 'u'], ['l', 'e', 'r']]",put̪uler
পুলিস,"[15, 14, 12, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'u'], ['l', 'i', 'ʃ']]",puliʃ
বিদ্যুৎ,"[11, 4, 16, 16, 14, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'i', 'd̪'], ['d̪', 'u', 't̪']]",bid̪d̪ut̪
কুমিল্লার,"[7, 14, 13, 4, 12, 12, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'u'], ['m', 'i', 'l'], ['l', 'a', 'r']]",kumillar
টাইটেল,"[17, 32, 17, 5, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʈ', 'ai̯'], ['ʈ', 'e', 'l']]",ʈai̯ʈel
খেলছে,"[24, 5, 12, 28, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['kʰ', 'e', 'l'], ['tʃʰ', 'e']]",kʰeltʃʰe
বানী,"[11, 1, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'a'], ['n', 'i']]",bani
দুষ্টু,"[16, 14, 10, 17, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'u', 'ʃ'], ['ʈ', 'u']]",d̪uʃʈu
চুমুক,"[22, 14, 13, 14, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃ', 'u'], ['m', 'u', 'k']]",tʃumuk
প্রতিবন্ধীদের,"[15, 2, 3, 9, 4, 11, 3, 6, 25, 4, 16, 5, 2, 0, 0, 0, 0, 0]","[['p', 'r', 'o'], ['t̪', 'i'], ['b', 'o', 'n'], ['d̪ʱ', 'i'], ['d̪', 'e', 'r']]",prot̪ibond̪ʱid̪er
মহিলাটি,"[13, 3, 21, 4, 12, 1, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'o'], ['h', 'i'], ['l', 'a'], ['ʈ', 'i']]",mohilaʈi
জিতে,"[18, 4, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'i'], ['t̪', 'e']]",dʒit̪e
নির্বাসন,"[6, 4, 2, 11, 1, 10, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'i', 'r'], ['b', 'a'], ['ʃ', 'o', 'n']]",nirbaʃon
ভাজা,"[23, 1, 18, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['bʱ', 'a'], ['dʒ', 'a']]",bʱadʒa
ফেডারেশনের,"[27, 29, 26, 1, 2, 5, 10, 3, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0]","[['f', 'æ'], ['ɖ', 'a'], ['r', 'e'], ['ʃ', 'o'], ['n', 'e', 'r']]",fæɖareʃoner
বীর্য,"[11, 4, 2, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'i', 'r'], ['dʒ', 'o']]",birdʒo
ঘেরা,"[34, 5, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['gʱ', 'e'], ['r', 'a']]",gʱera
ঘোরাফেরা,"[34, 3, 2, 1, 27, 5, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['gʱ', 'o'], ['r', 'a'], ['f', 'e'], ['r', 'a']]",gʱorafera
ল্যাপটপ,"[12, 29, 15, 17, 8, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['l', 'æ', 'p'], ['ʈ', 'ɔ', 'p']]",læpʈɔp
দ্বারাই,"[16, 1, 2, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'a'], ['r', 'ai̯']]",d̪arai̯
এসো,"[5, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['e'], ['ʃ', 'o']]",eʃo
যামু,"[18, 1, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'a'], ['m', 'u']]",dʒamu
প্রত্যেক,"[15, 2, 3, 9, 9, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'o', 't̪'], ['t̪', 'e', 'k']]",prot̪t̪ek
অগণিত,"[8, 20, 3, 6, 4, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ'], ['g', 'o'], ['n', 'i'], ['t̪', 'o']]",ɔgonit̪o
পৃথিবী,"[15, 2, 4, 30, 4, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'i'], ['t̪ʰ', 'i'], ['b', 'i']]",prit̪ʰibi
সংস্কৃতির,"[10, 8, 31, 19, 7, 2, 4, 9, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ', 'ŋ', 's'], ['k', 'r', 'i'], ['t̪', 'i', 'r']]",ʃɔŋskrit̪ir
চিপ,"[22, 4, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃ', 'i', 'p']]",tʃip
স্থির,"[19, 30, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 't̪ʰ', 'i', 'r']]",st̪ʰir
দিয়েছিলেন,"[16, 4, 5, 28, 4, 12, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'i'], ['e'], ['tʃʰ', 'i'], ['l', 'e', 'n']]",d̪ietʃʰilen
শয্যা,"[10, 8, 18, 18, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ', 'dʒ'], ['dʒ', 'a']]",ʃɔdʒdʒa
ধোনি,"[25, 3, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪ʱ', 'o'], ['n', 'i']]",d̪ʱoni
শীত,"[10, 4, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'i', 't̪']]",ʃit̪
শত্রুকে,"[10, 3, 9, 2, 14, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'o', 't̪'], ['r', 'u'], ['k', 'e']]",ʃot̪ruke
শোনা,"[10, 3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'o'], ['n', 'a']]",ʃona
ফ্লাইটে,"[27, 12, 32, 17, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['f', 'l', 'ai̯', 'ʈ'], ['e']]",flai̯ʈe
গর্ভধারণ,"[20, 8, 2, 23, 3, 25, 1, 2, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'ɔ', 'r'], ['bʱ', 'o'], ['d̪ʱ', 'a'], ['r', 'o', 'n']]",gɔrbʱod̪ʱaron
মার্কো,"[13, 1, 2, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'a', 'r'], ['k', 'o']]",marko
ল্যাবের,"[12, 29, 11, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['l', 'æ'], ['b', 'e', 'r']]",læber
ভৌতিক,"[23, 38, 9, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['bʱ', 'ou̯'], ['t̪', 'i', 'k']]",bʱou̯t̪ik
ভাস্কর্য,"[23, 1, 10, 7, 8, 2, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['bʱ', 'a', 'ʃ'], ['k', 'ɔ', 'r'], ['dʒ', 'o']]",bʱaʃkɔrdʒo
ব্যায়ামের,"[11, 29, 1, 13, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'æ'], ['a'], ['m', 'e', 'r']]",bæamer
বেগুন,"[11, 5, 20, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'e'], ['g', 'u', 'n']]",begun
গ্যারান্টি,"[20, 29, 2, 1, 6, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'æ'], ['r', 'a', 'n'], ['ʈ', 'i']]",gæranʈi
কারুর,"[7, 1, 2, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'a'], ['r', 'u', 'r']]",karur
পানের,"[15, 1, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'a'], ['n', 'e', 'r']]",paner
ম্যাচেই,"[13, 29, 22, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'æ'], ['tʃ', 'ei̯']]",mætʃei̯
আইনজীবীরা,"[1, 4, 6, 18, 4, 11, 4, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['i', 'n'], ['dʒ', 'i'], ['b', 'i'], ['r', 'a']]",aindʒibira
পুঁজি,"[15, 14, 18, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'u'], ['dʒ', 'i']]",pudʒi
দাপট,"[16, 1, 15, 3, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'a'], ['p', 'o', 'ʈ']]",d̪apoʈ
অগ্রাধিকার,"[8, 20, 2, 1, 25, 4, 7, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ', 'g'], ['r', 'a'], ['d̪ʱ', 'i'], ['k', 'a', 'r']]",ɔgrad̪ʱikar
ডেলিভারি,"[26, 5, 12, 4, 23, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɖ', 'e'], ['l', 'i'], ['bʱ', 'a'], ['r', 'i']]",ɖelibʱari
ট্রেড,"[17, 2, 5, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʈ', 'r', 'e', 'ɖ']]",ʈreɖ
আহম্মেদ,"[1, 21, 8, 13, 13, 5, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['h', 'ɔ', 'm'], ['m', 'e', 'd̪']]",ahɔmmed̪
দ্বিগুন,"[16, 4, 20, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'i'], ['g', 'u', 'n']]",d̪igun
অস্তিত্ব,"[3, 19, 9, 4, 9, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['o', 's'], ['t̪', 'i', 't̪'], ['t̪', 'o']]",ost̪it̪t̪o
থাকিস,"[30, 1, 7, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['t̪ʰ', 'a'], ['k', 'i', 'ʃ']]",t̪ʰakiʃ
কলকাতায়,"[7, 3, 12, 7, 1, 9, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'o', 'l'], ['k', 'a'], ['t̪', 'ae̯']]",kolkat̪ae̯
ফ্লোরিডার,"[27, 12, 3, 2, 4, 26, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['f', 'l', 'o'], ['r', 'i'], ['ɖ', 'a', 'r']]",floriɖar
প্রাণিসম্পদ,"[15, 2, 1, 6, 4, 10, 8, 13, 15, 8, 16, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'a'], ['n', 'i'], ['ʃ', 'ɔ', 'm'], ['p', 'ɔ', 'd̪']]",praniʃɔmpɔd̪
গোপন,"[20, 3, 15, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'o'], ['p', 'o', 'n']]",gopon
রাজ্য,"[2, 1, 18, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'a', 'dʒ'], ['dʒ', 'o']]",radʒdʒo
স্টাফ,"[19, 17, 1, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 'ʈ', 'a', 'f']]",sʈaf
বনানী,"[11, 8, 6, 1, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'ɔ'], ['n', 'a'], ['n', 'i']]",bɔnani
শিবিরে,"[10, 4, 11, 4, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'i'], ['b', 'i'], ['r', 'e']]",ʃibire
কম্বোডিয়ার,"[7, 8, 13, 11, 3, 26, 4, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ', 'm'], ['b', 'o'], ['ɖ', 'i'], ['a', 'r']]",kɔmboɖiar
ছাগলের,"[28, 1, 20, 3, 12, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃʰ', 'a'], ['g', 'o'], ['l', 'e', 'r']]",tʃʰagoler
গার্মেন্টস,"[20, 1, 2, 13, 5, 6, 17, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'a', 'r'], ['m', 'e', 'n', 'ʈ', 's']]",garmenʈs
পাও,"[15, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'ao̯']]",pao̯
ভূল,"[23, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['bʱ', 'u', 'l']]",bʱul
ঘোরে,"[34, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['gʱ', 'o'], ['r', 'e']]",gʱore
দুর্ভাগ্যবশত,"[16, 14, 2, 23, 1, 20, 20, 3, 11, 8, 10, 3, 9, 3, 0, 0, 0, 0]","[['d̪', 'u', 'r'], ['bʱ', 'a', 'g'], ['g', 'o'], ['b', 'ɔ'], ['ʃ', 'o'], ['t̪', 'o']]",d̪urbʱaggobɔʃot̪o
ভ্রাম্যমাণ,"[23, 2, 1, 13, 13, 3, 13, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['bʱ', 'r', 'a', 'm'], ['m', 'o'], ['m', 'a', 'n']]",bʱrammoman
জৈব,"[18, 35, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'oi̯'], ['b', 'o']]",dʒoi̯bo
পাতার,"[15, 1, 9, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'a'], ['t̪', 'a', 'r']]",pat̪ar
খেলো,"[24, 5, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['kʰ', 'e'], ['l', 'o']]",kʰelo
মোনা,"[13, 3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'o'], ['n', 'a']]",mona
তরুন,"[9, 3, 2, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['t̪', 'o'], ['r', 'u', 'n']]",t̪orun
নির্লজ্জ,"[6, 4, 2, 12, 8, 18, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'i', 'r'], ['l', 'ɔ', 'dʒ'], ['dʒ', 'o']]",nirlɔdʒdʒo
সহানুভূতি,"[10, 8, 21, 1, 6, 14, 23, 14, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ'], ['h', 'a'], ['n', 'u'], ['bʱ', 'u'], ['t̪', 'i']]",ʃɔhanubʱut̪i
আচরণে,"[1, 22, 3, 2, 8, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['tʃ', 'o'], ['r', 'ɔ'], ['n', 'e']]",atʃorɔne
মন্দিরের,"[13, 3, 6, 16, 4, 2, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'o', 'n'], ['d̪', 'i'], ['r', 'e', 'r']]",mond̪irer
সিগন্যাল,"[19, 4, 20, 6, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 'i', 'g'], ['n', 'a', 'l']]",signal
ডাবল,"[26, 1, 11, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɖ', 'a'], ['b', 'o', 'l']]",ɖabol
পোর্টাল,"[15, 3, 2, 17, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'o', 'r'], ['ʈ', 'a', 'l']]",porʈal
হিসাবে,"[21, 4, 10, 1, 11, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['h', 'i'], ['ʃ', 'a'], ['b', 'e']]",hiʃabe
আমদানির,"[1, 13, 16, 1, 6, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a', 'm'], ['d̪', 'a'], ['n', 'i', 'r']]",amd̪anir
জ্বালানি,"[18, 1, 12, 1, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'a'], ['l', 'a'], ['n', 'i']]",dʒalani
হিংস্র,"[21, 4, 31, 19, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['h', 'i', 'ŋ'], ['s', 'r', 'o']]",hiŋsro
করবেনা,"[7, 3, 2, 11, 5, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'o', 'r'], ['b', 'e'], ['n', 'a']]",korbena
ডিফেন্ডার,"[26, 4, 27, 5, 6, 26, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɖ', 'i'], ['f', 'e', 'n'], ['ɖ', 'a', 'r']]",ɖifenɖar
মস্তিষ্কের,"[13, 3, 19, 9, 4, 10, 7, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'o', 's'], ['t̪', 'i', 'ʃ'], ['k', 'e', 'r']]",most̪iʃker
ঝর্ণা,"[42, 8, 2, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒʱ', 'ɔ', 'r'], ['n', 'a']]",dʒʱɔrna
অলৌকিক,"[8, 12, 38, 7, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ'], ['l', 'ou̯'], ['k', 'i', 'k']]",ɔlou̯kik
উদ্দীপনা,"[14, 16, 16, 4, 15, 8, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['u', 'd̪'], ['d̪', 'i'], ['p', 'ɔ'], ['n', 'a']]",ud̪d̪ipɔna
পুরু,"[15, 14, 2, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'u'], ['r', 'u']]",puru
ভিসার,"[23, 4, 19, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['bʱ', 'i'], ['s', 'a', 'r']]",bʱisar
পার্শ্ব,"[15, 1, 2, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'a', 'r'], ['ʃ', 'o']]",parʃo
বিদেশী,"[11, 4, 16, 5, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'i'], ['d̪', 'e'], ['ʃ', 'i']]",bid̪eʃi
টিকা,"[17, 4, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʈ', 'i'], ['k', 'a']]",ʈika
স্পন্সর,"[19, 15, 8, 6, 19, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 'p', 'ɔ', 'n'], ['s', 'ɔ', 'r']]",spɔnsɔr
কারাদণ্ডের,"[7, 1, 2, 1, 16, 8, 6, 26, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'a'], ['r', 'a'], ['d̪', 'ɔ', 'n'], ['ɖ', 'e', 'r']]",karad̪ɔnɖer
