word,phon_vec,syllables,ipa
ছড়িয়েছে,"[28, 3, 2, 4, 5, 28, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃʰ', 'o'], ['r', 'i'], ['e'], ['tʃʰ', 'e']]",tʃʰorietʃʰe
বৃহস্পতি,"[11, 2, 4, 21, 8, 10, 15, 3, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'r', 'i'], ['h', 'ɔ', 'ʃ'], ['p', 'o'], ['t̪', 'i']]",brihɔʃpot̪i
রুক্ষ,"[2, 14, 7, 24, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'u', 'k'], ['kʰ', 'o']]",rukkʰo
কেন,"[7, 5, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'e'], ['n', 'o']]",keno
ধর্ষক,"[25, 8, 2, 10, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪ʱ', 'ɔ', 'r'], ['ʃ', 'o', 'k']]",d̪ʱɔrʃok
ছেলেকে,"[28, 5, 12, 5, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃʰ', 'e'], ['l', 'e'], ['k', 'e']]",tʃʰeleke
ব্যবহারকারী,"[11, 29, 11, 3, 21, 1, 2, 7, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0]","[['b', 'æ'], ['b', 'o'], ['h', 'a', 'r'], ['k', 'a'], ['r', 'i']]",bæboharkari
পারছিল,"[15, 1, 2, 28, 4, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'a', 'r'], ['tʃʰ', 'i'], ['l', 'o']]",partʃʰilo
গোশত,"[20, 3, 10, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'o', 'ʃ'], ['t̪', 'o']]",goʃt̪o
পরামর্শ,"[15, 8, 2, 1, 13, 8, 2, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'ɔ'], ['r', 'a'], ['m', 'ɔ', 'r'], ['ʃ', 'o']]",pɔramɔrʃo
সতর্ক,"[10, 8, 9, 3, 2, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ'], ['t̪', 'o', 'r'], ['k', 'o']]",ʃɔt̪orko
সাইট,"[19, 32, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 'ai̯', 'ʈ']]",sai̯ʈ
কওমি,"[7, 51, 13, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔo̯'], ['m', 'i']]",kɔo̯mi
মহসিন,"[13, 3, 21, 3, 19, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'o'], ['h', 'o'], ['s', 'i', 'n']]",mohosin
আক্রমন,"[1, 7, 2, 3, 13, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a', 'k'], ['r', 'o'], ['m', 'o', 'n']]",akromon
আইনজীবী,"[1, 4, 6, 18, 4, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['i', 'n'], ['dʒ', 'i'], ['b', 'i']]",aindʒibi
সংখ্যা,"[19, 3, 31, 24, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 'o', 'ŋ'], ['kʰ', 'a']]",soŋkʰa
কোড,"[7, 3, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'o', 'ɖ']]",koɖ
হয়েছিলো,"[21, 47, 5, 28, 4, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['h', 'oe̯'], ['e'], ['tʃʰ', 'i'], ['l', 'o']]",hoe̯etʃʰilo
একই,"[5, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['e', 'k'], ['i']]",eki
মতামত,"[13, 8, 9, 1, 13, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'ɔ'], ['t̪', 'a'], ['m', 'ɔ', 't̪']]",mɔt̪amɔt̪
বেড,"[11, 5, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'e', 'ɖ']]",beɖ
স্বর্ণপদক,"[10, 8, 2, 6, 3, 15, 8, 16, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ', 'r'], ['n', 'o'], ['p', 'ɔ'], ['d̪', 'o', 'k']]",ʃɔrnopɔd̪ok
ময়মনসিংহের,"[13, 47, 13, 3, 6, 10, 4, 31, 21, 5, 2, 0, 0, 0, 0, 0, 0, 0]","[['m', 'oe̯'], ['m', 'o', 'n'], ['ʃ', 'i', 'ŋ'], ['h', 'e', 'r']]",moe̯monʃiŋher
উইকি,"[53, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['u̯i'], ['k', 'i']]",u̯iki
বাসনা,"[11, 1, 10, 3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'a'], ['ʃ', 'o'], ['n', 'a']]",baʃona
এমনভাবে,"[29, 13, 3, 6, 23, 1, 11, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['æ'], ['m', 'o', 'n'], ['bʱ', 'a'], ['b', 'e']]",æmonbʱabe
ব্যবস্থাপনা,"[11, 29, 11, 3, 19, 30, 1, 15, 8, 6, 1, 0, 0, 0, 0, 0, 0, 0]","[['b', 'æ'], ['b', 'o', 's'], ['t̪ʰ', 'a'], ['p', 'ɔ'], ['n', 'a']]",bæbost̪ʰapɔna
মনযোগ,"[13, 3, 6, 3, 18, 3, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'o'], ['n', 'o'], ['dʒ', 'o', 'g']]",monodʒog
প্রশাসক,"[15, 2, 3, 10, 1, 10, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'o'], ['ʃ', 'a'], ['ʃ', 'ɔ', 'k']]",proʃaʃɔk
বাধ্যবাধকতা,"[11, 1, 16, 25, 3, 11, 1, 25, 3, 7, 8, 9, 1, 0, 0, 0, 0, 0]","[['b', 'a', 'd̪'], ['d̪ʱ', 'o'], ['b', 'a'], ['d̪ʱ', 'o'], ['k', 'ɔ'], ['t̪', 'a']]",bad̪d̪ʱobad̪ʱokɔt̪a
অতিবাহিত,"[3, 9, 4, 11, 1, 21, 4, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['o'], ['t̪', 'i'], ['b', 'a'], ['h', 'i'], ['t̪', 'o']]",ot̪ibahit̪o
বিচ্ছিন্ন,"[11, 4, 22, 28, 4, 6, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'i', 'tʃ'], ['tʃʰ', 'i', 'n'], ['n', 'o']]",bitʃtʃʰinno
গণধর্ষণ,"[20, 8, 6, 3, 25, 8, 2, 10, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'ɔ'], ['n', 'o'], ['d̪ʱ', 'ɔ', 'r'], ['ʃ', 'o', 'n']]",gɔnod̪ʱɔrʃon
অর্থনৈতিকভাবে,"[8, 2, 30, 3, 6, 35, 9, 4, 7, 23, 1, 11, 5, 0, 0, 0, 0, 0]","[['ɔ', 'r'], ['t̪ʰ', 'o'], ['n', 'oi̯'], ['t̪', 'i', 'k'], ['bʱ', 'a'], ['b', 'e']]",ɔrt̪ʰonoi̯t̪ikbʱabe
নক্ষত্রের,"[6, 8, 7, 24, 8, 9, 2, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'ɔ', 'k'], ['kʰ', 'ɔ', 't̪'], ['r', 'e', 'r']]",nɔkkʰɔt̪rer
সিংহ,"[10, 4, 31, 21, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'i', 'ŋ'], ['h', 'o']]",ʃiŋho
দীক্ষিত,"[16, 4, 7, 24, 4, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'i', 'k'], ['kʰ', 'i'], ['t̪', 'o']]",d̪ikkʰit̪o
প্রতিমন্ত্রী,"[15, 2, 3, 9, 4, 13, 3, 6, 9, 2, 4, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'o'], ['t̪', 'i'], ['m', 'o', 'n'], ['t̪', 'r', 'i']]",prot̪imont̪ri
অজ্ঞতা,"[8, 20, 20, 3, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ', 'g'], ['g', 'o'], ['t̪', 'a']]",ɔggot̪a
পড়বে,"[15, 3, 2, 11, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'o', 'r'], ['b', 'e']]",porbe
পালাতে,"[15, 1, 12, 1, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'a'], ['l', 'a'], ['t̪', 'e']]",palat̪e
আনন্দের,"[1, 6, 8, 6, 16, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['n', 'ɔ', 'n'], ['d̪', 'e', 'r']]",anɔnd̪er
ধন্যবাদ,"[25, 3, 6, 6, 3, 11, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪ʱ', 'o', 'n'], ['n', 'o'], ['b', 'a', 'd̪']]",d̪ʱonnobad̪
ডক,"[26, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɖ', 'ɔ', 'k']]",ɖɔk
নিউইয়র্ক,"[6, 41, 4, 8, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'iu̯'], ['i'], ['ɔ', 'r', 'k']]",niu̯iɔrk
দেখেছিল,"[16, 5, 24, 5, 28, 4, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'e'], ['kʰ', 'e'], ['tʃʰ', 'i'], ['l', 'o']]",d̪ekʰetʃʰilo
আগষ্ট,"[1, 20, 3, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['g', 'o', 's', 'ʈ']]",agosʈ
তালাক,"[9, 1, 12, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['t̪', 'a'], ['l', 'a', 'k']]",t̪alak
এভাবে,"[5, 23, 1, 11, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['e'], ['bʱ', 'a'], ['b', 'e']]",ebʱabe
রেলপথ,"[2, 5, 12, 15, 8, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'e', 'l'], ['p', 'ɔ', 't̪ʰ']]",relpɔt̪ʰ
জনক,"[18, 8, 6, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'ɔ'], ['n', 'o', 'k']]",dʒɔnok
আজম,"[1, 18, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['dʒ', 'ɔ', 'm']]",adʒɔm
চলচিত্র,"[22, 8, 12, 3, 22, 4, 9, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃ', 'ɔ'], ['l', 'o'], ['tʃ', 'i', 't̪'], ['r', 'o']]",tʃɔlotʃit̪ro
পুত্রের,"[15, 14, 9, 2, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'u', 't̪'], ['r', 'e', 'r']]",put̪rer
বয়স,"[11, 47, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'oe̯'], ['o', 'ʃ']]",boe̯oʃ
কক্ষ,"[7, 8, 7, 24, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ', 'k'], ['kʰ', 'o']]",kɔkkʰo
নির্মমভাবে,"[6, 4, 2, 13, 8, 13, 23, 1, 11, 5, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'i', 'r'], ['m', 'ɔ', 'm'], ['bʱ', 'a'], ['b', 'e']]",nirmɔmbʱabe
করা,"[7, 8, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ'], ['r', 'a']]",kɔra
টেকনিক,"[17, 5, 7, 6, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʈ', 'e', 'k'], ['n', 'i', 'k']]",ʈeknik
ছিলনা,"[28, 4, 12, 3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃʰ', 'i'], ['l', 'o'], ['n', 'a']]",tʃʰilona
অর,"[8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ', 'r']]",ɔr
কারিগর,"[7, 1, 2, 4, 20, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'a'], ['r', 'i'], ['g', 'ɔ', 'r']]",karigɔr
অনেকের,"[8, 6, 5, 7, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ'], ['n', 'e'], ['k', 'e', 'r']]",ɔneker
শিশুটির,"[10, 4, 10, 14, 17, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'i'], ['ʃ', 'u'], ['ʈ', 'i', 'r']]",ʃiʃuʈir
উচ্চারণে,"[14, 22, 22, 1, 2, 3, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['u', 'tʃ'], ['tʃ', 'a'], ['r', 'o'], ['n', 'e']]",utʃtʃarone
প্রসব,"[15, 2, 3, 10, 3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'o'], ['ʃ', 'o'], ['b']]",proʃob
নিছক,"[6, 4, 28, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'i'], ['tʃʰ', 'ɔ', 'k']]",nitʃʰɔk
করেই,"[7, 3, 2, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'o'], ['r', 'ei̯']]",korei̯
সুসম্পর্ক,"[10, 14, 10, 8, 13, 15, 8, 2, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'u'], ['ʃ', 'ɔ', 'm'], ['p', 'ɔ', 'r'], ['k', 'o']]",ʃuʃɔmpɔrko
করাতে,"[7, 8, 2, 1, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ'], ['r', 'a'], ['t̪', 'e']]",kɔrat̪e
অজানা,"[8, 18, 1, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ'], ['dʒ', 'a'], ['n', 'a']]",ɔdʒana
বিচারক,"[11, 4, 22, 1, 2, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'i'], ['tʃ', 'a'], ['r', 'o', 'k']]",bitʃarok
গ্রহণকারী,"[20, 2, 3, 21, 3, 6, 7, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'r', 'o'], ['h', 'o', 'n'], ['k', 'a'], ['r', 'i']]",grohonkari
চালাচ্ছে,"[22, 1, 12, 1, 22, 28, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃ', 'a'], ['l', 'a', 'tʃ'], ['tʃʰ', 'e']]",tʃalatʃtʃʰe
প্রতিযোগীতা,"[15, 2, 3, 9, 4, 18, 3, 20, 4, 9, 1, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'o'], ['t̪', 'i'], ['dʒ', 'o'], ['g', 'i'], ['t̪', 'a']]",prot̪idʒogit̪a
প্রত্যাখ্যান,"[15, 2, 3, 9, 9, 1, 7, 24, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'o', 't̪'], ['t̪', 'a', 'k'], ['kʰ', 'a', 'n']]",prot̪t̪akkʰan
ক্ষেপণাস্ত্র,"[24, 5, 15, 3, 6, 1, 19, 9, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0]","[['kʰ', 'e'], ['p', 'o'], ['n', 'a', 's'], ['t̪', 'r', 'o']]",kʰeponast̪ro
নই,"[6, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'oi̯']]",noi̯
ফটোশপ,"[27, 3, 17, 3, 10, 8, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['f', 'o'], ['ʈ', 'o'], ['ʃ', 'ɔ', 'p']]",foʈoʃɔp
এবারই,"[29, 11, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['æ'], ['b', 'a'], ['r', 'i']]",æbari
উন্নয়নের,"[14, 6, 6, 47, 3, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['u', 'n'], ['n', 'oe̯'], ['o'], ['n', 'e', 'r']]",unnoe̯oner
অতিথি,"[3, 9, 4, 30, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['o'], ['t̪', 'i'], ['t̪ʰ', 'i']]",ot̪it̪ʰi
ব্রিটিশ,"[11, 2, 4, 17, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'r', 'i'], ['ʈ', 'i', 'ʃ']]",briʈiʃ
আপনজন,"[1, 15, 3, 6, 18, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['p', 'o', 'n'], ['dʒ', 'o', 'n']]",apondʒon
সমবেদনা,"[10, 8, 13, 3, 11, 5, 16, 3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ'], ['m', 'o'], ['b', 'e'], ['d̪', 'o'], ['n', 'a']]",ʃɔmobed̪ona
যাচ্ছেন,"[18, 1, 22, 28, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'a', 'tʃ'], ['tʃʰ', 'e', 'n']]",dʒatʃtʃʰen
লালন,"[12, 1, 12, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['l', 'a'], ['l', 'o', 'n']]",lalon
বিখ্যাত,"[11, 4, 7, 24, 29, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'i', 'k'], ['kʰ', 'æ'], ['t̪', 'o']]",bikkʰæt̪o
রেডিওতে,"[2, 5, 26, 4, 3, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'e'], ['ɖ', 'i'], ['o'], ['t̪', 'e']]",reɖiot̪e
টেক্সট,"[17, 5, 7, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʈ', 'e', 'k', 's', 'ʈ']]",ʈeksʈ
কর্মজীবী,"[7, 8, 2, 13, 3, 18, 4, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ', 'r'], ['m', 'o'], ['dʒ', 'i'], ['b', 'i']]",kɔrmodʒibi
ছন্দে,"[28, 8, 6, 16, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃʰ', 'ɔ', 'n'], ['d̪', 'e']]",tʃʰɔnd̪e
মাঝ,"[13, 1, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'a', 'dʒʱ']]",madʒʱ
তরফ,"[9, 8, 2, 3, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['t̪', 'ɔ'], ['r', 'o', 'f']]",t̪ɔrof
অনবরত,"[8, 6, 3, 11, 8, 2, 3, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ'], ['n', 'o'], ['b', 'ɔ'], ['r', 'o'], ['t̪', 'o']]",ɔnobɔrot̪o
মাঝখানে,"[13, 1, 42, 24, 1, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'a', 'dʒʱ'], ['kʰ', 'a'], ['n', 'e']]",madʒʱkʰane
লোকেশন,"[12, 3, 7, 5, 10, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['l', 'o'], ['k', 'e'], ['ʃ', 'ɔ', 'n']]",lokeʃɔn
বস,"[11, 8, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'ɔ'], ['ʃ', 'o']]",bɔʃo
ওদিকে,"[3, 16, 4, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['o'], ['d̪', 'i'], ['k', 'e']]",od̪ike
শেরপুরে,"[10, 5, 2, 15, 14, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'e', 'r'], ['p', 'u'], ['r', 'e']]",ʃerpure
গ্রহণের,"[20, 2, 3, 21, 3, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'r', 'o'], ['h', 'o'], ['n', 'e', 'r']]",grohoner
এবারও,"[5, 11, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['e'], ['b', 'a', 'r'], ['o']]",ebaro
উপদেষ্টা,"[14, 15, 3, 16, 5, 10, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['u'], ['p', 'o'], ['d̪', 'e', 'ʃ'], ['ʈ', 'a']]",upod̪eʃʈa
মোস্তফা,"[13, 3, 19, 9, 3, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'o', 's'], ['t̪', 'o'], ['f', 'a']]",most̪ofa
সচেষ্ট,"[10, 8, 22, 5, 10, 17, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ'], ['tʃ', 'e', 'ʃ'], ['ʈ', 'o']]",ʃɔtʃeʃʈo
প্রতিষ্ঠানকে,"[15, 2, 3, 9, 4, 10, 36, 1, 6, 7, 5, 0, 0, 0, 0, 0, 0, 0]","[['p', 'r', 'o'], ['t̪', 'i', 'ʃ'], ['ʈʰ', 'a', 'n'], ['k', 'e']]",prot̪iʃʈʰanke
ব্রিজ,"[11, 2, 4, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'r', 'i', 'dʒ']]",bridʒ
বচ্চন,"[11, 8, 22, 22, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'ɔ', 'tʃ'], ['tʃ', 'ɔ', 'n']]",bɔtʃtʃɔn
পরি,"[15, 3, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'o'], ['r', 'i']]",pori
দফতর,"[16, 8, 27, 9, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'ɔ', 'f'], ['t̪', 'o', 'r']]",d̪ɔft̪or
নমুনা,"[6, 3, 13, 14, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'o'], ['m', 'u'], ['n', 'a']]",nomuna
এন্টি,"[5, 6, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['e', 'n'], ['ʈ', 'i']]",enʈi
তুলনায়,"[9, 14, 12, 3, 6, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['t̪', 'u'], ['l', 'o'], ['n', 'ae̯']]",t̪ulonae̯
