id,word1,word2,ipa1,ipa2,rime1,rime2,subset,predicted_label,label_corrected,reviewed,notes
rhyme_00091,উদ্দেশ্য,মান্য,ud̪d̪eʃʃo,manno,o,o,pos,1,,,
rhyme_00092,অপরদিকে,আলোকে,ɔpɔrd̪ike,aloke,e,e,pos,1,,,
rhyme_00093,অনুদানে,দলটিতে,onud̪ane,d̪ɔlʈit̪e,e,e,pos,1,,,
rhyme_00094,অপূর্ণতা,দলটা,ɔpurnot̪a,d̪ɔlʈa,a,a,pos,1,,,
rhyme_00095,রুগ্ন,সাজাপ্রাপ্ত,rugno,sadʒaprapt̪o,o,o,pos,1,,,
rhyme_00096,পারছেনা,প্রজ্ঞা,partʃʰena,progga,a,a,pos,1,,,
rhyme_00097,এক্সট্রা,নেয়া,eksʈra,nea,a,a,pos,1,,,
rhyme_00098,গ্রেপ্তারে,সপক্ষে,grept̪are,ʃɔpokkʰe,e,e,pos,1,,,
rhyme_00099,গঠিত,যকৃত,goʈʰit̪o,dʒɔkrit̪o,o,o,pos,1,,,
rhyme_00100,নানান,নূরজাহান,nanan,nurdʒahan,an,an,pos,1,,,
rhyme_00101,খুনিদের,বাসের,kʰunid̪er,baser,er,er,pos,1,,,
rhyme_00102,অক্টোবরের,ভিনগ্রহের,ɔkʈobɔrer,bʱingroher,er,er,pos,1,,,
rhyme_00103,সালমানকে,সেনাবাহিনীকে,salmanke,ʃenabahinike,e,e,pos,1,,,
rhyme_00104,আমস্টারডামে,তাঁকে,amosʈarɖame,t̪ake,e,e,pos,1,,,
rhyme_00105,চৌধুরীকে,দরবারে,tʃou̯d̪ʱurike,d̪ɔrbare,e,e,pos,1,,,
rhyme_00106,করাচির,রাষ্ট্রটির,kɔratʃir,raʃʈroʈir,ir,ir,pos,1,,,
rhyme_00107,উজান,প্রমান,udʒan,proman,an,an,pos,1,,,
rhyme_00108,পতনে,প্রেসে,pɔt̪one,prese,e,e,pos,1,,,
rhyme_00109,ধর্মাবলম্বী,শিখছি,d̪ʱɔrmabolombi,ʃikʰtʃʰi,i,i,pos,1,,,
rhyme_00110,প্রতিজ্ঞ,সারিবদ্ধ,prot̪iggo,ʃaribɔd̪d̪ʱo,o,o,pos,1,,,
rhyme_00111,এক্সপ্রেসে,কাঁদতে,eksprese,kad̪t̪e,e,e,pos,1,,,
rhyme_00112,চোরকে,বুথে,tʃorke,but̪ʰe,e,e,pos,1,,,
rhyme_00113,উপাদানকে,ডাকবে,upad̪anke,ɖakbe,e,e,pos,1,,,
rhyme_00114,অনুন্নত,এগার,ɔnunnɔt̪o,ægaro,o,o,pos,1,,,
rhyme_00115,দেখলে,ফুটছে,d̪ekʰle,fuʈtʃʰe,e,e,pos,1,,,
rhyme_00116,জনস্বাস্থ্যের,বান্ধবের,dʒɔnoʃast̪ʰer,band̪ʱober,er,er,pos,1,,,
rhyme_00117,নারীদেরকে,বাস্তবে,narid̪erke,bast̪obe,e,e,pos,1,,,
rhyme_00118,কেবিনে,চেখে,kebine,tʃekʰe,e,e,pos,1,,,
rhyme_00119,কোণের,মুস্তাফিজের,koner,must̪afidʒer,er,er,pos,1,,,
rhyme_00120,তোদের,ভ্যালেন্টাইনের,t̪od̪er,bʱælenʈainer,er,er,pos,1,,,
rhyme_00121,মিলার,শৌচাগার,milar,ʃou̯tʃagar,ar,ar,pos,1,,,
rhyme_00122,অবকাঠামোগত,দাহ,ɔbokaʈʰamogɔt̪o,d̪aho,o,o,pos,1,,,
rhyme_00123,প্রকাশ্য,বিস্তৃত,prokaʃʃo,bist̪rit̪o,o,o,pos,1,,,
rhyme_00124,পালনে,বিনিয়োগে,palone,binioge,e,e,pos,1,,,
rhyme_00125,রোধের,সিদ্ধান্তের,rod̪ʱer,ʃid̪d̪ʱant̪er,er,er,pos,1,,,
rhyme_00126,ওজনে,সুইডেনে,odʒɔne,sui̯ɖene,e,e,pos,1,,,
rhyme_00127,তালি,বিশটি,t̪ali,biʃʈi,i,i,pos,1,,,
rhyme_00128,বাঁশি,লগ্নি,baʃi,logni,i,i,pos,1,,,
rhyme_00129,নিরপেক্ষভাবে,ভুবনে,niropekkʰobʱabe,bʱubone,e,e,pos,1,,,
rhyme_00130,মোডে,শার্টে,moɖe,ʃarʈe,e,e,pos,1,,,
rhyme_00131,কৃতকার্য,স্থানান্তরিত,krit̪okardʒo,st̪ʰanant̪orit̪o,o,o,pos,1,,,
rhyme_00132,অপ্রকাশিত,কথাগুলো,ɔprokaʃit̪o,kɔt̪ʰagulo,o,o,pos,1,,,
rhyme_00133,কোয়ার্টার,ক্যাডার,koarʈar,kæɖar,ar,ar,pos,1,,,
rhyme_00134,দুইশ,সৃজিত,d̪ui̯ʃo,ʃridʒit̪o,o,o,pos,1,,,
rhyme_00135,টুইটারে,তুলতুলে,ʈui̯ʈare,t̪ult̪ule,e,e,pos,1,,,
rhyme_00136,একটানা,হাহাহা,ækʈana,hahaha,a,a,pos,1,,,
rhyme_00137,ইংরেজিতে,পিছে,iŋredʒit̪e,pitʃʰe,e,e,pos,1,,,
rhyme_00138,উৎসর্গ,বিশিষ্ট,ut̪ʃɔrgo,biʃiʃʈo,o,o,pos,1,,,
rhyme_00139,অক্ষুণ্ণ,ব্যথিত,ɔkkʰunno,bæt̪ʰit̪o,o,o,pos,1,,,
rhyme_00140,এসপি,ফ্যাসিবাদী,espi,fæsibad̪i,i,i,pos,1,,,
rhyme_00141,ছেপেছে,নিচ্ছে,tʃʰepetʃʰe,nitʃtʃʰe,e,e,pos,1,,,
rhyme_00142,ঠেকেছে,দফতরে,ʈʰeketʃʰe,d̪ɔft̪ore,e,e,pos,1,,,
rhyme_00143,গণ্ডারের,ধ্বসের,gonɖarer,d̪ʱɔʃer,er,er,pos,1,,,
rhyme_00144,আদনান,নর্দান,ad̪nan,nɔrd̪an,an,an,pos,1,,,
rhyme_00145,ঘুরছে,বর্ষে,gʱurtʃʰe,bɔrʃe,e,e,pos,1,,,
rhyme_00146,প্রসূত,মনও,proʃut̪o,mono,o,o,pos,1,,,
rhyme_00147,অনুপাতে,গ্যালারীতে,onupat̪e,gælarit̪e,e,e,pos,1,,,
rhyme_00148,আফ্রিকানদের,জিউসের,afrikand̪er,dʒiuser,er,er,pos,1,,,
rhyme_00149,মওলা,সীমা,mɔo̯la,ʃima,a,a,pos,1,,,
rhyme_00150,পরল,সূর্য,porlo,ʃurdʒo,o,o,pos,1,,,
rhyme_00151,জিয়া,মাইরা,dʒia,mai̯ra,a,a,pos,1,,,
rhyme_00152,দানবদের,সন্ধানের,d̪anobd̪er,ʃɔnd̪ʱaner,er,er,pos,1,,,
rhyme_00153,এগুলোকে,নাইরোবিতে,eguloke,nai̯robit̪e,e,e,pos,1,,,
rhyme_00154,গর্বে,যৌথভাবে,gɔrbe,dʒou̯t̪ʰobʱabe,e,e,pos,1,,,
rhyme_00155,সর্বসম্মতিক্রমে,সিস্টেমে,ʃɔrboʃɔmmot̪ikrome,sisʈeme,e,e,pos,1,,,
rhyme_00156,কমিশনার,নমস্কার,kɔmiʃonar,nɔmoʃkar,ar,ar,pos,1,,,
rhyme_00157,ক্ষমতাসম্পন্ন,পক্ষ,kʰɔmot̪aʃɔmpɔnno,pɔkkʰo,o,o,pos,1,,,
rhyme_00158,নিমজ্জিত,বুঝতেও,nimodʒdʒit̪o,budʒʱt̪eo,o,o,pos,1,,,
rhyme_00159,চৌধুরীর,বাচ্চাটির,tʃou̯d̪ʱurir,batʃtʃaʈir,ir,ir,pos,1,,,
rhyme_00160,বিমানবন্দরে,সার্কাসে,bimanbɔnd̪ɔre,sarkase,e,e,pos,1,,,
rhyme_00161,অনুভুতি,সুগন্ধী,onubʱut̪i,ʃugond̪ʱi,i,i,pos,1,,,
rhyme_00162,বেলকুচি,সভাপতি,belkutʃi,ʃɔbʱapot̪i,i,i,pos,1,,,
rhyme_00163,গীর্জা,শীলা,girdʒa,ʃila,a,a,pos,1,,,
rhyme_00164,খণ্ডের,স্বৈরাচারের,kʰɔnɖer,ʃoi̯ratʃarer,er,er,pos,1,,,
rhyme_00165,বাবাজি,বোমাটি,babadʒi,bomaʈi,i,i,pos,1,,,
rhyme_00166,উইকি,সীমান্তরক্ষী,u̯iki,ʃimant̪orokkʰi,i,i,pos,1,,,
rhyme_00167,দুর্দশা,সুবিধা,d̪urd̪ɔʃa,ʃubid̪ʱa,a,a,pos,1,,,
rhyme_00168,এখুনি,নাভি,ækʰuni,nabʱi,i,i,pos,1,,,
rhyme_00169,একদিনে,নেতৃত্বকে,ækd̪ine,net̪rit̪t̪oke,e,e,pos,1,,,
rhyme_00170,আত্মপক্ষ,বিনীত,at̪t̪opɔkkʰo,binit̪o,o,o,pos,1,,,
rhyme_00171,ঘোষণাকে,বঙ্গে,gʱoʃonake,bɔŋge,e,e,pos,1,,,
rhyme_00172,পরী,শতবার্ষিকী,pori,ʃɔt̪obarʃiki,i,i,pos,1,,,
rhyme_00173,কতটা,নিশানা,kɔt̪oʈa,niʃana,a,a,pos,1,,,
rhyme_00174,আবৃত,মৃত্যুও,abrit̪o,mrit̪t̪uo,o,o,pos,1,,,
rhyme_00175,শরীফের,হিজাবের,ʃorifer,hidʒaber,er,er,pos,1,,,
rhyme_00176,আর্থিকভাবে,প্রেক্ষাগৃহে,art̪ʰikbʱabe,prekkʰagrihe,e,e,pos,1,,,
rhyme_00177,কারণেও,ছিল,karoneo,tʃʰilo,o,o,pos,1,,,
rhyme_00178,মোস্তফা,সাংবাদিকতা,most̪ofa,ʃaŋbad̪ikɔt̪a,a,a,pos,1,,,
rhyme_00179,প্রতিবাদী,মানহানি,prot̪ibad̪i,manhani,i,i,pos,1,,,
rhyme_00180,কাটেনি,মুষ্টি,kaʈeni,muʃʈi,i,i,pos,1,,,
rhyme_00181,পৌছাতে,শহরাঞ্চলে,pou̯tʃʰat̪e,ʃɔhorantʃɔle,e,e,pos,1,,,
rhyme_00182,জাবের,প্রতিনিধিত্বের,dʒaber,prot̪inid̪ʱit̪t̪er,er,er,pos,1,,,
rhyme_00183,কারাদণ্ডের,বর্তমানের,karad̪ɔnɖer,bɔrt̪omaner,er,er,pos,1,,,
rhyme_00184,উচ্চশিক্ষিত,একটিও,utʃtʃoʃikkʰit̪o,ekʈio,o,o,pos,1,,,
rhyme_00185,মুখে,হারাবে,mukʰe,harabe,e,e,pos,1,,,
rhyme_00186,কারিগরী,হুমকী,karigori,humki,i,i,pos,1,,,
rhyme_00187,পৌছতে,বিফলে,pou̯tʃʰɔt̪e,bifɔle,e,e,pos,1,,,
rhyme_00188,বসের,হান্নানের,bɔser,hannaner,er,er,pos,1,,,
rhyme_00189,দৃষ্টিতে,বিজেপিকে,d̪riʃʈit̪e,bidʒepike,e,e,pos,1,,,
rhyme_00190,ছুড়ে,পরিমানে,tʃʰure,porimane,e,e,pos,1,,,
rhyme_00191,তালিকাভূক্ত,ধন্য,t̪alikabʱukt̪o,d̪ʱonno,o,o,pos,1,,,
rhyme_00192,আদমের,গুগলের,ad̪omer,gugoler,er,er,pos,1,,,
rhyme_00193,টঙ্গী,সরি,ʈoŋgi,sɔri,i,i,pos,1,,,
rhyme_00194,এগুলোও,এগ্রো,eguloo,ægro,o,o,pos,1,,,
rhyme_00195,রিজভীর,হত্যাকারীর,ridʒbʱir,hot̪t̪akarir,ir,ir,pos,1,,,
rhyme_00196,দেখাবে,বাঁচতে,d̪ekʰabe,batʃt̪e,e,e,pos,1,,,
rhyme_00197,প্রকোষ্ঠে,রানে,prokoʃʈʰe,rane,e,e,pos,1,,,
rhyme_00198,পদ্ধতিতে,ল্যাপটপে,pɔd̪d̪ʱot̪it̪e,læpʈope,e,e,pos,1,,,
rhyme_00199,এদিকে,বলে,ed̪ike,bɔle,e,e,pos,1,,,
rhyme_00200,আব্দুর,ছাত্রশিবির,abd̪ur,tʃʰat̪roʃibir,ur,ir,hard,0,,,
rhyme_00201,বানানোর,ভূপৃষ্ঠের,bananor,bʱupriʃʈʰer,or,er,hard,0,,,
rhyme_00202,নিষ্পত্তির,পৌরসভার,niʃpot̪t̪ir,poo̯roʃɔbʱar,ir,ar,hard,0,,,
rhyme_00203,মুরসির,সুশাসনের,murʃir,ʃuʃaʃoner,ir,er,hard,0,,,
rhyme_00204,আলাস্কার,পরমাণুর,alaskar,pɔromanur,ar,ur,hard,0,,,
rhyme_00205,রোববার,সেঞ্চুরির,robbar,sentʃurir,ar,ir,hard,0,,,
rhyme_00206,ওসমানের,রংধনুর,osmaner,rɔŋd̪ʱonur,er,ur,hard,0,,,
rhyme_00207,অপকর্মের,মিলিটারির,ɔpokɔrmer,miliʈarir,er,ir,hard,0,,,
rhyme_00208,উচ্চতর,কুইন্সল্যান্ডের,utʃtʃot̪ɔro,kuinslænɖer,o,er,hard,0,,,
rhyme_00209,কাতর,প্রতিবার,kat̪or,prot̪ibar,or,ar,hard,0,,,
rhyme_00210,কিলোমিটারের,বছর,kilomiʈarer,bɔtʃʰor,er,or,hard,0,,,
rhyme_00211,উপহারের,প্রতিযোগীতার,upoharer,prot̪idʒogit̪ar,er,ar,hard,0,,,
rhyme_00212,গৃহযুদ্ধের,যতবার,grihodʒud̪d̪ʱer,dʒɔt̪obar,er,ar,hard,0,,,
rhyme_00213,ইহুদীদের,এবছর,ihud̪id̪er,ebɔtʃʰor,er,or,hard,0,,,
rhyme_00214,পূর্তির,মিডফিল্ডার,purt̪ir,miɖfilɖar,ir,ar,hard,0,,,
rhyme_00215,অসুখের,আঁধার,ɔʃukʰer,ad̪ʱar,er,ar,hard,0,,,
rhyme_00216,নাসরিনের,বিহার,nasriner,bihar,er,ar,hard,0,,,
rhyme_00217,কার্টুন,মানুষজন,karʈun,manuʃdʒɔn,un,ɔn,hard,0,,,
rhyme_00218,চমত্কার,ভাষান্তর,tʃɔmot̪kar,bʱaʃant̪ɔr,ar,ɔr,hard,0,,,
rhyme_00219,জানমালের,জাহাঙ্গীরনগর,dʒanmaler,dʒahaŋgirnɔgor,er,or,hard,0,,,
rhyme_00220,রামপুর,রাষ্ট্রদূতের,rampur,rasʈrod̪ut̪er,ur,er,hard,0,,,
rhyme_00221,টানেলের,সাভার,ʈaneler,sabʱar,er,ar,hard,0,,,
rhyme_00222,ছাত্রের,ডিনার,tʃʰat̪rer,ɖinar,er,ar,hard,0,,,
rhyme_00223,পলির,বিধ্বস্তের,pɔlir,bid̪d̪ʱɔst̪er,ir,er,hard,0,,,
rhyme_00224,ইহার,শফিকুর,ihar,ʃofikur,ar,ur,hard,0,,,
rhyme_00225,বিটিভির,সূর্যের,biʈibʱir,ʃurdʒer,ir,er,hard,0,,,
rhyme_00226,বৃদ্ধার,সবধরনের,brid̪d̪ʱar,ʃɔbd̪ʱɔroner,ar,er,hard,0,,,
rhyme_00227,সমেত,সুমিত,ʃɔmet̪,ʃumit̪,et̪,it̪,hard,0,,,
rhyme_00228,পক্ষের,শরীর,pɔkkʰer,ʃorir,er,ir,hard,0,,,
rhyme_00229,এখনকার,গুরুত্বের,ækʰonkar,gurut̪t̪er,ar,er,hard,0,,,
rhyme_00230,উদযাপনের,মুস্তাফার,ud̪dʒaponer,must̪afar,er,ar,hard,0,,,
rhyme_00231,চিন্তাভাবনার,ঢাবির,tʃint̪abʱabnar,ɖʱabir,ar,ir,hard,0,,,
rhyme_00232,ড্রামার,পরিবারগুলোর,ɖramar,poribargulor,ar,or,hard,0,,,
rhyme_00233,ক্লাসিক,হাস্যরসাত্মক,klasik,haʃʃorɔʃat̪t̪ok,ik,ok,hard,0,,,
rhyme_00234,রসুলপুর,সীমার,rosulpur,ʃimar,ur,ar,hard,0,,,
rhyme_00235,গ্রেফতার,রবিবারের,greft̪ar,robibarer,ar,er,hard,0,,,
rhyme_00236,ঘানার,লজ্জাকর,gʱanar,lɔdʒdʒakɔr,ar,ɔr,hard,0,,,
rhyme_00237,ফুটবলারদের,বিধবার,fuʈbɔlard̪er,bid̪ʱobar,er,ar,hard,0,,,
rhyme_00238,নার্সের,প্রতিবার,narser,prot̪ibar,er,ar,hard,0,,,
rhyme_00239,ক্লিনিকের,জোহর,kliniker,dʒohor,er,or,hard,0,,,
rhyme_00240,এনজাইম,করছিলাম,ændʒaim,kortʃʰilam,im,am,hard,0,,,
rhyme_00241,দানের,ধারার,d̪aner,d̪ʱarar,er,ar,hard,0,,,
rhyme_00242,চাকুরীর,শাসনকালের,tʃakurir,ʃaʃonkaler,ir,er,hard,0,,,
rhyme_00243,ডিসির,পৌঁছার,ɖisir,pou̯tʃʰar,ir,ar,hard,0,,,
rhyme_00244,মণ্ডল,রিয়েল,mɔnɖol,riel,ol,el,hard,0,,,
rhyme_00245,ক্যামেরার,ফরাসিদের,kæmerar,fɔraʃid̪er,ar,er,hard,0,,,
rhyme_00246,উম্মুল,নির্ভরশীল,ummul,nirbʱɔrʃil,ul,il,hard,0,,,
rhyme_00247,শৌচাগার,সিএনএনের,ʃou̯tʃagar,sienener,ar,er,hard,0,,,
rhyme_00248,কালোর,পিএসজির,kalor,piesdʒir,or,ir,hard,0,,,
rhyme_00249,সারপ্রাইজ,হাফেজ,sarprai̯dʒ,hafedʒ,ai̯dʒ,edʒ,hard,0,,,
rhyme_00250,ঠোঁটের,উল্টো,ʈʰoʈer,ulʈo,er,o,easy,0,,,
rhyme_00251,ভাববে,পাজল,bʱabbe,padʒɔl,e,ɔl,easy,0,,,
rhyme_00252,নিজেকেই,মিনারে,nidʒekei̯,minare,ei̯,e,easy,0,,,
rhyme_00253,সেঞ্চুরির,ঝুলন্ত,sentʃurir,dʒʱulɔnt̪o,ir,o,easy,0,,,
rhyme_00254,ধর্ষণের,ট্রিবিউন,d̪ʱɔrʃoner,ʈribiun,er,un,easy,0,,,
rhyme_00255,সুবিধা,অশুভ,ʃubid̪ʱa,ɔʃubʱo,a,o,easy,0,,,
rhyme_00256,পোনা,ভিকটিম,pona,bʱikʈim,a,im,easy,0,,,
